Date  ,Open  ,High  ,Low  ,Close  ,Change  ,% Change  ,Volume ()  ,Value (')  
16 Sep 2024,260.0,260.0,256.0,256.0,-4.0,-1.54,4822235,1244348.99
13 Sep 2024,258.0,260.0,256.0,260.0,1.0,0.39,4692079,1211683.64
12 Sep 2024,261.0,263.0,258.0,259.0,0.0,0.0,8539014,2225227.7
11 Sep 2024,258.0,261.0,257.0,259.0,0.0,0.0,6990838,1810084.85
10 Sep 2024,258.0,263.0,257.0,259.0,-1.0,-0.38,8891123,2310423.6
09 Sep 2024,268.0,269.0,259.0,260.0,-9.0,-3.35,11222553,2935708.24
06 Sep 2024,267.0,271.0,265.0,269.0,2.0,0.75,11170683,2996655.77
05 Sep 2024,249.0,268.0,249.0,267.0,19.0,7.66,17882105,4677786.54
04 Sep 2024,247.0,249.0,246.0,248.0,0.0,0.0,3092819,762730.17
03 Sep 2024,245.0,249.0,245.0,248.0,2.0,0.81,4370379,1078703.73
02 Sep 2024,245.0,247.0,244.0,246.0,-1.0,-0.4,2816707,691029.01
30 Aug 2024,248.0,248.0,245.0,247.0,1.0,0.41,7717171,1902308.59
29 Aug 2024,250.0,251.0,245.0,246.0,-4.0,-1.6,7526761,1869757.12
28 Aug 2024,247.0,252.0,247.0,250.0,3.0,1.21,8053727,2013049.49
27 Aug 2024,248.0,251.0,247.0,247.0,-1.0,-0.4,5081606,1264648.47
26 Aug 2024,246.0,249.0,245.0,248.0,1.0,0.4,4374447,1081436.99
23 Aug 2024,243.0,247.0,242.0,247.0,4.0,1.65,6217299,1519994.7
22 Aug 2024,244.0,246.0,241.0,243.0,-1.0,-0.41,4965965,1207218.94
21 Aug 2024,245.0,246.0,243.0,244.0,0.0,0.0,2804097,685525.73
20 Aug 2024,241.0,246.0,241.0,244.0,3.0,1.24,6031015,1469865.44
