Date  ,Open  ,High  ,Low  ,Close  ,Change  ,% Change  ,Volume ()  ,Value (')  
16 Sep 2024,62.25,62.75,62.0,62.75,0.5,0.8,11365365,710512.37
13 Sep 2024,62.25,62.5,62.0,62.25,0.25,0.4,9118614,567621.67
12 Sep 2024,62.25,62.75,62.0,62.0,0.0,0.0,18552566,1156499.85
11 Sep 2024,62.25,63.0,61.75,62.0,-0.25,-0.4,29064778,1806105.03
10 Sep 2024,62.25,62.5,61.75,62.25,-0.25,-0.4,21236031,1319750.31
09 Sep 2024,63.25,63.5,62.0,62.5,-0.75,-1.19,46149624,2890044.01
06 Sep 2024,62.75,63.75,62.75,63.25,0.75,1.2,50656099,3199053.46
05 Sep 2024,61.0,62.75,60.75,62.5,1.75,2.88,35840126,2219023.25
04 Sep 2024,60.25,60.75,60.25,60.75,0.25,0.41,10280348,622868.93
03 Sep 2024,60.0,60.75,60.0,60.5,0.5,0.83,11271240,680863.41
02 Sep 2024,59.75,60.25,59.75,60.0,0.25,0.42,6641591,398516.79
30 Aug 2024,60.0,60.25,59.75,59.75,0.0,0.0,23331357,1395300.66
29 Aug 2024,60.0,60.25,59.5,59.75,-0.5,-0.83,9573576,572691.03
28 Aug 2024,59.75,60.5,59.75,60.25,0.0,0.0,14783877,888215.64
27 Aug 2024,60.75,61.0,59.75,60.25,-0.5,-0.82,13644544,823334.2
26 Aug 2024,60.0,61.0,59.75,60.75,1.0,1.67,20996381,1271556.8
23 Aug 2024,59.5,60.25,59.5,59.75,0.25,0.42,16703150,1000436.84
22 Aug 2024,59.5,59.75,59.25,59.5,0.25,0.42,12303249,731577.66
21 Aug 2024,58.25,59.75,58.0,59.25,1.0,1.72,24800409,1466612.07
20 Aug 2024,58.25,58.75,57.75,58.25,0.25,0.43,18747853,1093036.28
