Date  ,Open  ,High  ,Low  ,Close  ,Change  ,% Change  ,Volume ()  ,Value (')  
16 Sep 2024,3.6,3.78,3.6,3.74,0.12,3.31,156889510,583112.34
13 Sep 2024,3.66,3.7,3.6,3.62,-0.02,-0.55,78480742,285968.61
12 Sep 2024,3.62,3.68,3.6,3.64,0.06,1.68,86197047,314498.52
11 Sep 2024,3.66,3.7,3.56,3.58,-0.06,-1.65,103553176,373355.02
10 Sep 2024,3.7,3.72,3.64,3.64,-0.06,-1.62,120234434,440925.94
09 Sep 2024,3.76,3.76,3.64,3.7,0.0,0.0,184425992,683845.15
06 Sep 2024,3.62,3.7,3.6,3.7,0.12,3.35,269229842,982532.37
05 Sep 2024,3.5,3.62,3.5,3.58,0.12,3.47,174048075,620898.98
04 Sep 2024,3.38,3.48,3.38,3.46,0.0,0.0,113430848,389862.63
03 Sep 2024,3.32,3.48,3.3,3.46,0.12,3.59,293914397,995992.99
02 Sep 2024,3.28,3.4,3.24,3.34,0.02,0.6,488271306,1622515.45
30 Aug 2024,3.46,3.48,3.32,3.32,-0.18,-5.14,1005786915,3352983.55
29 Aug 2024,3.5,3.56,3.46,3.5,-0.08,-2.23,73755892,257847.09
28 Aug 2024,3.62,3.66,3.52,3.58,-0.1,-2.72,145227655,519671.45
27 Aug 2024,3.68,3.72,3.58,3.68,-0.02,-0.54,167912313,614436.86
26 Aug 2024,3.38,3.78,3.36,3.7,0.32,9.47,187528551,676708.08
23 Aug 2024,3.28,3.42,3.26,3.38,0.12,3.68,106823897,359638.97
22 Aug 2024,3.32,3.36,3.22,3.26,-0.06,-1.81,92818382,302788.04
21 Aug 2024,3.3,3.38,3.24,3.32,0.04,1.22,73889643,244024.45
20 Aug 2024,3.3,3.4,3.22,3.28,0.0,0.0,111630933,370478.26
