Date  ,Open  ,High  ,Low  ,Close  ,Change  ,% Change  ,Volume ()  ,Value (')  
16 Sep 2024,158.0,158.5,157.0,158.0,-1.0,-0.63,7058354,1112926.93
13 Sep 2024,156.0,159.5,155.5,159.0,4.0,2.58,21763345,3441877.93
12 Sep 2024,155.0,155.5,154.5,155.0,1.0,0.65,7623872,1182239.08
11 Sep 2024,153.0,156.0,153.0,154.0,1.0,0.65,16617858,2564200.52
10 Sep 2024,152.5,154.0,151.5,153.0,1.0,0.66,18734195,2864637.33
09 Sep 2024,152.5,154.0,150.5,152.0,1.5,1.0,29263848,4454466.02
06 Sep 2024,143.0,151.5,143.0,150.5,8.0,5.61,43208033,6381632.45
05 Sep 2024,141.0,142.5,140.5,142.5,3.0,2.15,16086541,2279100.09
04 Sep 2024,139.0,140.0,138.0,139.5,-1.5,-1.06,9399688,1306625.77
03 Sep 2024,139.5,141.5,139.5,141.0,1.5,1.08,8513142,1196296.18
02 Sep 2024,140.5,140.5,139.5,139.5,-1.5,-1.06,4609299,644928.87
30 Aug 2024,142.0,142.0,141.0,141.0,-1.0,-0.7,4453885,629601.54
29 Aug 2024,142.5,143.0,141.5,142.0,-0.5,-0.35,7941146,1129290.16
28 Aug 2024,141.5,143.0,141.5,142.5,0.5,0.35,6958485,989290.21
27 Aug 2024,143.0,143.0,141.5,142.0,-1.0,-0.7,7960028,1131315.36
26 Aug 2024,142.5,143.5,141.5,143.0,0.5,0.35,10736966,1529788.01
23 Aug 2024,138.5,142.5,138.0,142.5,5.0,3.64,21518686,3022729.1
22 Aug 2024,137.5,138.0,136.5,137.5,0.5,0.36,6214385,852511.35
21 Aug 2024,134.0,137.5,133.5,137.0,3.0,2.24,9318508,1270131.64
20 Aug 2024,134.5,135.0,133.5,134.0,0.0,0.0,9127452,1224976.72
