Date  ,Open  ,High  ,Low  ,Close  ,Change  ,% Change  ,Volume ()  ,Value (')  
16 Sep 2024,36.75,37.25,36.5,37.0,0.0,0.0,16388062,602834.07
13 Sep 2024,37.75,37.75,36.75,37.0,-0.5,-1.33,10259164,381709.56
12 Sep 2024,38.0,38.0,37.0,37.5,0.0,0.0,7310941,273978.77
11 Sep 2024,37.0,37.5,36.5,37.5,-0.75,-1.96,23166699,858645.98
10 Sep 2024,39.5,39.5,38.25,38.25,-1.0,-2.55,13913660,537611.28
09 Sep 2024,38.25,39.75,38.25,39.25,1.0,2.61,18713634,730239.58
06 Sep 2024,38.0,38.75,37.5,38.25,0.75,2.0,14274307,545424.37
05 Sep 2024,36.5,37.75,36.25,37.5,1.0,2.74,13232007,492437.38
04 Sep 2024,35.75,36.75,35.5,36.5,-0.5,-1.35,12061609,435852.39
03 Sep 2024,36.5,37.5,36.25,37.0,0.75,2.07,24370050,897305.16
02 Sep 2024,36.25,36.75,35.75,36.25,-1.0,-2.68,9582596,347596.99
30 Aug 2024,37.0,37.5,36.5,37.25,0.5,1.36,12268990,456405.31
29 Aug 2024,36.25,37.0,36.0,36.75,0.5,1.38,7828304,287201.97
28 Aug 2024,36.75,36.75,36.0,36.25,-0.5,-1.36,7700443,280622.93
27 Aug 2024,36.75,37.5,36.25,36.75,0.0,0.0,17278706,637230.31
26 Aug 2024,35.5,36.75,35.25,36.75,1.25,3.52,11917279,429987.46
23 Aug 2024,34.5,35.75,34.25,35.5,1.25,3.65,13880457,489279.55
22 Aug 2024,34.0,34.75,34.0,34.25,0.0,0.0,7437194,255111.21
21 Aug 2024,33.25,34.5,33.25,34.25,0.75,2.24,12475582,424474.21
20 Aug 2024,33.5,33.75,33.25,33.5,0.0,0.0,5972200,199987.46
