Date  ,Open  ,High  ,Low  ,Close  ,Change  ,% Change  ,Volume ()  ,Value (')  
16 Sep 2024,29.5,30.0,29.25,29.75,0.5,1.71,41294509,1226063.55
13 Sep 2024,29.75,30.25,29.25,29.25,-0.25,-0.85,58108191,1734886.07
12 Sep 2024,29.0,29.75,29.0,29.5,0.5,1.72,68477083,2025490.56
11 Sep 2024,29.25,29.5,28.5,29.0,-0.75,-2.52,87761257,2540899.63
10 Sep 2024,29.25,30.0,29.0,29.75,0.25,0.85,97752657,2886360.98
09 Sep 2024,29.25,29.75,29.0,29.5,0.5,1.72,73485563,2162483.0
06 Sep 2024,28.5,29.5,28.5,29.0,0.5,1.75,103118325,2991440.31
05 Sep 2024,28.0,28.75,27.75,28.5,0.75,2.7,114535490,3252995.42
04 Sep 2024,27.5,28.0,27.5,27.75,0.0,0.0,29822575,824507.71
03 Sep 2024,27.75,28.0,27.5,27.75,0.0,0.0,42144416,1169652.2
02 Sep 2024,27.75,28.25,27.75,27.75,0.0,0.0,32441810,908106.54
30 Aug 2024,27.75,28.0,27.75,27.75,0.0,0.0,75236765,2097231.84
29 Aug 2024,27.75,28.0,27.75,27.75,-0.25,-0.89,14684589,408766.1
28 Aug 2024,27.75,28.25,27.75,28.0,0.25,0.9,47979629,1342599.33
27 Aug 2024,27.5,28.0,27.5,27.75,0.25,0.91,44321299,1230208.21
26 Aug 2024,27.5,27.75,27.5,27.5,0.0,0.0,11587076,319129.04
23 Aug 2024,27.5,27.75,27.25,27.5,-0.25,-0.9,22871806,629685.56
22 Aug 2024,28.0,28.0,27.25,27.75,-0.25,-0.89,48051865,1331274.85
21 Aug 2024,27.5,28.25,27.25,28.0,0.75,2.75,83734873,2339766.9
20 Aug 2024,26.5,27.25,26.25,27.25,1.0,3.81,51663201,1395187.9
