Date  ,Open  ,High  ,Low  ,Close  ,Change  ,% Change  ,Volume ()  ,Value (')  
16 Sep 2024,8.0,8.1,8.0,8.0,0.0,0.0,20500434,164483.41
13 Sep 2024,8.05,8.1,7.95,8.0,-0.1,-1.23,29547537,236179.02
12 Sep 2024,8.0,8.1,8.0,8.1,0.1,1.25,22765538,183433.5
11 Sep 2024,8.05,8.1,7.9,8.0,-0.05,-0.62,48784278,389066.21
10 Sep 2024,8.05,8.15,7.95,8.05,0.05,0.63,62418006,503386.66
09 Sep 2024,7.85,8.05,7.85,8.0,0.15,1.91,89138256,709964.78
06 Sep 2024,7.8,7.9,7.8,7.85,0.05,0.64,67322057,528390.63
05 Sep 2024,7.65,7.8,7.65,7.8,0.15,1.96,41113033,317438.49
04 Sep 2024,7.6,7.7,7.55,7.65,0.0,0.0,47345585,361681.15
03 Sep 2024,7.6,7.7,7.55,7.65,0.05,0.66,69408027,529356.4
02 Sep 2024,7.65,7.7,7.6,7.6,-0.05,-0.65,39150791,299188.52
30 Aug 2024,7.85,7.85,7.6,7.65,-0.2,-2.55,72012830,553448.22
29 Aug 2024,7.85,7.85,7.75,7.85,0.0,0.0,31051580,242506.97
28 Aug 2024,7.85,7.85,7.75,7.85,0.0,0.0,38119185,297874.7
27 Aug 2024,7.95,7.95,7.85,7.85,-0.1,-1.26,40603387,319655.81
26 Aug 2024,7.75,7.95,7.75,7.95,0.35,4.61,89405187,704589.91
23 Aug 2024,7.75,7.85,7.6,7.6,-0.3,-3.8,152167909,1174825.73
22 Aug 2024,7.85,7.95,7.8,7.9,0.05,0.64,53271227,420165.25
21 Aug 2024,7.9,7.9,7.85,7.85,-0.1,-1.26,47233823,371851.47
20 Aug 2024,7.95,8.0,7.85,7.95,0.0,0.0,40342717,319363.55
