Date  ,Open  ,High  ,Low  ,Close  ,Change  ,% Change  ,Volume ()  ,Value (')  
16 Sep 2024,23.1,23.6,22.9,23.3,0.3,1.3,15784301,367833.06
13 Sep 2024,23.5,23.6,22.8,23.0,-0.4,-1.71,20736767,479266.79
12 Sep 2024,23.7,23.8,23.3,23.4,0.0,0.0,18008768,423308.38
11 Sep 2024,23.5,23.8,23.1,23.4,0.3,1.3,35936138,841672.26
10 Sep 2024,23.4,23.5,22.9,23.1,-0.2,-0.86,21624829,501610.3
09 Sep 2024,23.3,24.0,23.3,23.3,0.1,0.43,21171880,496882.59
06 Sep 2024,22.5,23.4,22.5,23.2,0.9,4.04,31529022,727183.74
05 Sep 2024,21.9,22.5,21.8,22.3,0.8,3.72,26025919,578351.45
04 Sep 2024,20.6,21.7,20.5,21.5,0.8,3.86,27826768,594524.95
03 Sep 2024,20.1,20.9,20.0,20.7,0.5,2.48,15713401,322837.31
02 Sep 2024,20.3,20.4,20.0,20.2,0.0,0.0,12274600,247926.36
30 Aug 2024,20.7,20.8,20.2,20.2,-0.3,-1.46,13011295,265372.72
29 Aug 2024,20.7,20.8,20.4,20.5,-0.3,-1.44,10853435,223356.76
28 Aug 2024,21.1,21.1,20.7,20.8,-0.3,-1.42,16507908,343596.1
27 Aug 2024,20.9,21.3,20.6,21.1,0.1,0.48,14474825,304825.18
26 Aug 2024,20.9,21.4,20.8,21.0,0.2,0.96,17330803,365283.0
23 Aug 2024,20.6,20.9,20.4,20.8,0.2,0.97,10017498,207522.59
22 Aug 2024,20.6,20.8,20.4,20.6,0.0,0.0,18332622,376799.16
21 Aug 2024,20.9,21.0,20.4,20.6,-0.2,-0.96,20793306,429922.85
20 Aug 2024,20.9,21.3,20.7,20.8,0.2,0.97,24645374,516325.52
