Date  ,Open  ,High  ,Low  ,Close  ,Change  ,% Change  ,Volume ()  ,Value (')  
16 Sep 2024,272.0,275.0,270.0,270.0,-4.0,-1.46,2510219,681817.69
13 Sep 2024,274.0,284.0,273.0,274.0,2.0,0.74,6567039,1816098.8
12 Sep 2024,270.0,275.0,267.0,272.0,2.0,0.74,4678452,1269634.5
11 Sep 2024,267.0,274.0,264.0,270.0,-1.0,-0.37,30601024,7984078.65
10 Sep 2024,270.0,275.0,268.0,271.0,-2.0,-0.73,3226768,877444.52
09 Sep 2024,275.0,282.0,267.0,273.0,1.0,0.37,10471977,2855660.35
06 Sep 2024,264.0,272.0,264.0,272.0,8.0,3.03,7328555,1962910.44
05 Sep 2024,251.0,264.0,250.0,264.0,14.0,5.6,7794812,2020787.99
04 Sep 2024,243.0,251.0,243.0,250.0,6.0,2.46,4799511,1191800.22
03 Sep 2024,244.0,246.0,244.0,244.0,1.0,0.41,1791805,438756.87
02 Sep 2024,244.0,245.0,242.0,243.0,-2.0,-0.82,1159636,282390.69
30 Aug 2024,244.0,246.0,243.0,245.0,1.0,0.41,4558822,1116194.86
29 Aug 2024,243.0,245.0,239.0,244.0,0.0,0.0,2336930,565406.17
28 Aug 2024,243.0,244.0,241.0,244.0,2.0,0.83,2013275,489316.52
27 Aug 2024,243.0,245.0,241.0,242.0,-3.0,-1.22,2416048,585650.95
26 Aug 2024,244.0,245.0,242.0,245.0,1.0,0.41,1728530,421200.36
23 Aug 2024,245.0,246.0,242.0,244.0,-3.0,-1.21,2201861,536313.9
22 Aug 2024,250.0,250.0,245.0,247.0,-2.0,-0.8,3556332,876097.68
21 Aug 2024,245.0,249.0,244.0,249.0,4.0,1.63,2264823,561376.19
20 Aug 2024,244.0,246.0,243.0,245.0,1.0,0.41,1555664,381196.47
