Date  ,Open  ,High  ,Low  ,Close  ,Change  ,% Change  ,Volume ()  ,Value (')  
16 Sep 2024,23.6,24.2,23.5,24.0,0.5,2.13,8850135,212014.92
13 Sep 2024,23.9,23.9,23.5,23.5,-0.1,-0.42,8164670,193375.3
12 Sep 2024,24.3,24.3,23.5,23.6,-0.4,-1.67,12889441,306930.28
11 Sep 2024,24.2,24.4,23.8,24.0,-0.2,-0.83,18216157,439135.91
10 Sep 2024,24.3,24.4,24.1,24.2,0.0,0.0,9581649,232583.3
09 Sep 2024,24.3,24.6,23.9,24.2,-0.1,-0.41,18727949,454323.97
06 Sep 2024,24.0,24.5,23.9,24.3,0.7,2.97,22322215,540117.67
05 Sep 2024,23.3,23.8,23.2,23.6,0.7,3.06,18374452,432329.55
04 Sep 2024,22.5,23.0,22.5,22.9,0.2,0.88,7208623,164448.86
03 Sep 2024,22.5,22.8,22.3,22.7,0.2,0.89,18635659,419918.36
02 Sep 2024,22.5,22.7,22.3,22.5,0.0,0.0,5647044,127044.24
30 Aug 2024,22.5,22.8,22.3,22.5,0.0,0.0,27191481,612090.25
29 Aug 2024,22.6,22.7,22.2,22.5,-0.2,-0.88,10603443,237958.86
28 Aug 2024,22.5,22.8,22.3,22.7,0.0,0.0,6553233,148285.72
27 Aug 2024,22.6,22.7,22.5,22.7,-0.1,-0.44,6638646,150130.23
26 Aug 2024,22.4,22.9,22.3,22.8,0.5,2.24,17157029,388843.57
23 Aug 2024,21.5,22.6,21.5,22.3,0.8,3.72,21233396,472060.84
22 Aug 2024,21.0,21.7,20.7,21.5,0.7,3.37,17010790,362119.17
21 Aug 2024,20.6,20.9,20.5,20.8,0.2,0.97,5163732,106811.87
20 Aug 2024,20.7,20.9,20.5,20.6,0.0,0.0,8285587,171314.69
