Date  ,Open  ,High  ,Low  ,Close  ,Change  ,% Change  ,Volume ()  ,Value (')  
16 Sep 2024,4.78,4.84,4.74,4.76,-0.02,-0.42,76153528,363869.69
13 Sep 2024,4.8,4.86,4.76,4.78,0.08,1.7,108819358,523150.72
12 Sep 2024,4.68,4.76,4.68,4.7,0.06,1.29,65031844,306891.26
11 Sep 2024,4.72,4.74,4.64,4.64,-0.08,-1.69,67423686,315078.39
10 Sep 2024,4.84,4.84,4.7,4.72,-0.12,-2.48,123015831,584688.23
09 Sep 2024,4.74,4.96,4.72,4.84,0.12,2.54,329479638,1594740.65
06 Sep 2024,4.48,4.84,4.48,4.72,0.24,5.36,411960124,1929064.15
05 Sep 2024,4.44,4.5,4.4,4.48,0.08,1.82,98655876,438999.81
04 Sep 2024,4.3,4.42,4.28,4.4,0.06,1.38,68750696,299500.54
03 Sep 2024,4.14,4.36,4.14,4.34,0.22,5.34,126966869,544298.16
02 Sep 2024,4.22,4.24,4.08,4.12,-0.12,-2.83,98342707,407191.31
30 Aug 2024,4.28,4.28,4.22,4.24,-0.04,-0.93,49934506,212021.78
29 Aug 2024,4.32,4.34,4.24,4.28,-0.06,-1.38,40818829,175013.04
28 Aug 2024,4.36,4.42,4.28,4.34,-0.02,-0.46,65756434,285882.1
27 Aug 2024,4.44,4.46,4.36,4.36,-0.04,-0.91,68294962,300658.49
26 Aug 2024,4.26,4.54,4.26,4.4,0.16,3.77,352597165,1564887.27
23 Aug 2024,4.2,4.28,4.16,4.24,0.02,0.47,93549447,395670.06
22 Aug 2024,4.22,4.26,4.18,4.22,0.0,0.0,31792862,134263.19
21 Aug 2024,4.2,4.26,4.18,4.22,0.0,0.0,44744711,188705.03
20 Aug 2024,4.22,4.28,4.16,4.22,0.02,0.48,74136995,312314.67
