Date  ,Open  ,High  ,Low  ,Close  ,Change  ,% Change  ,Volume ()  ,Value (')  
16 Sep 2024,72.75,73.25,72.5,72.5,-0.25,-0.34,2232684,162570.91
13 Sep 2024,73.25,73.75,72.25,72.75,0.0,0.0,3970877,289399.58
12 Sep 2024,73.5,73.5,72.5,72.75,-0.5,-0.68,2092772,152715.15
11 Sep 2024,72.75,73.5,72.0,73.25,0.75,1.03,4886412,355575.56
10 Sep 2024,73.25,73.5,72.25,72.5,-0.25,-0.34,3278239,238784.94
09 Sep 2024,72.75,74.25,72.75,72.75,0.0,0.0,4969606,364530.69
06 Sep 2024,72.5,73.75,72.0,72.75,1.0,1.39,8148020,593484.26
05 Sep 2024,69.75,72.5,69.5,71.75,2.5,3.61,9631228,683200.75
04 Sep 2024,67.5,69.5,67.5,69.25,1.0,1.47,4161537,286670.99
03 Sep 2024,67.75,69.0,67.75,68.25,0.0,0.0,3419957,233916.9
02 Sep 2024,68.25,69.25,68.0,68.25,-0.5,-0.73,2635943,180555.55
30 Aug 2024,69.75,70.75,68.5,68.75,-0.75,-1.08,3988170,276950.86
29 Aug 2024,67.5,70.25,67.5,69.5,2.0,2.96,7196828,499516.28
28 Aug 2024,68.0,69.25,67.25,67.5,-0.5,-0.74,4196836,286360.76
27 Aug 2024,68.75,68.75,67.5,68.0,0.0,0.0,2710028,184858.94
26 Aug 2024,66.75,68.5,66.5,68.0,1.0,1.49,3247562,219667.02
23 Aug 2024,67.0,68.0,66.75,67.0,-0.25,-0.37,3023471,203813.24
22 Aug 2024,68.25,68.25,66.75,67.25,-1.25,-1.82,3239453,217953.3
21 Aug 2024,68.25,68.75,67.25,68.5,0.25,0.37,4467241,303147.43
20 Aug 2024,69.5,70.0,68.25,68.25,-0.75,-1.09,3800065,262756.24
