Date  ,Open  ,High  ,Low  ,Close  ,Change  ,% Change  ,Volume ()  ,Value (')  
16 Sep 2024,37.5,38.75,37.5,38.75,1.5,4.03,3725841,143281.41
13 Sep 2024,37.5,37.75,37.25,37.25,0.0,0.0,1247762,46664.06
12 Sep 2024,37.25,38.0,37.0,37.25,0.25,0.68,2646252,98884.15
11 Sep 2024,37.0,37.75,36.25,37.0,0.0,0.0,2633282,97045.69
10 Sep 2024,37.75,38.0,36.75,37.0,-0.5,-1.33,2422419,90262.45
09 Sep 2024,38.5,38.5,37.5,37.5,-1.0,-2.6,5736824,217950.91
06 Sep 2024,37.25,39.25,37.0,38.5,2.25,6.21,6702743,256397.55
05 Sep 2024,34.75,36.75,34.75,36.25,1.5,4.32,4831827,174161.27
04 Sep 2024,34.75,35.25,34.5,34.75,0.0,0.0,2541292,88644.91
03 Sep 2024,33.75,35.5,33.5,34.75,1.0,2.96,3418749,119293.5
02 Sep 2024,34.75,35.0,33.5,33.75,-1.25,-3.57,4019637,136601.74
30 Aug 2024,35.5,35.5,34.75,35.0,0.0,0.0,1409700,49459.85
29 Aug 2024,35.75,36.0,34.75,35.0,-1.0,-2.78,2122159,74525.13
28 Aug 2024,35.5,36.25,35.5,36.0,0.5,1.41,3481129,124927.27
27 Aug 2024,34.75,36.75,34.5,35.5,1.25,3.65,7429038,264720.59
26 Aug 2024,33.75,34.5,33.5,34.25,0.5,1.48,2830754,96629.38
23 Aug 2024,33.25,34.25,33.25,33.75,0.0,0.0,2357079,79448.7
22 Aug 2024,33.75,34.0,33.25,33.75,0.25,0.75,2518980,84968.55
21 Aug 2024,32.75,34.0,32.5,33.5,1.25,3.88,4273697,142920.06
20 Aug 2024,32.5,32.75,31.5,32.25,0.25,0.78,5351751,172934.09
