Date  ,Open  ,High  ,Low  ,Close  ,Change  ,% Change  ,Volume ()  ,Value (')  
16 Sep 2024,65.25,66.0,64.75,65.5,0.75,1.16,33182159,2167443.17
13 Sep 2024,64.75,65.25,64.5,64.75,0.25,0.39,18197849,1179705.93
12 Sep 2024,65.25,65.5,64.5,64.5,-0.25,-0.39,25306720,1643917.55
11 Sep 2024,65.5,65.75,63.75,64.75,-1.0,-1.52,41742495,2695591.87
10 Sep 2024,65.5,66.25,64.75,65.75,-0.25,-0.38,34944666,2290739.19
09 Sep 2024,65.25,66.75,64.75,66.0,0.75,1.15,57381581,3786888.66
06 Sep 2024,63.75,65.5,63.75,65.25,1.75,2.76,92526943,5994127.98
05 Sep 2024,60.75,63.5,60.5,63.5,3.0,4.96,66565513,4147561.94
04 Sep 2024,60.25,61.0,60.25,60.5,-0.25,-0.41,16379649,992466.82
03 Sep 2024,60.25,61.0,60.25,60.75,0.25,0.41,15644419,948479.8
02 Sep 2024,60.25,60.75,60.0,60.5,0.0,0.0,11552285,697818.97
30 Aug 2024,60.0,60.5,59.75,60.5,0.75,1.26,28984921,1748010.44
29 Aug 2024,60.25,60.5,59.5,59.75,-0.5,-0.83,13109338,786006.74
28 Aug 2024,59.5,60.25,59.25,60.25,0.5,0.84,12280614,736491.63
27 Aug 2024,59.75,60.0,59.0,59.75,-0.25,-0.42,24273709,1443586.24
26 Aug 2024,60.0,60.25,59.5,60.0,0.0,0.0,20970977,1256198.59
23 Aug 2024,59.75,60.0,59.25,60.0,1.0,1.69,25776094,1539239.8
22 Aug 2024,58.75,59.25,58.5,59.0,-0.25,-0.42,27605378,1624654.95
21 Aug 2024,58.75,60.0,58.5,59.25,0.25,0.42,28539399,1695486.68
20 Aug 2024,57.5,59.5,57.25,59.0,2.0,3.51,75143918,4416896.85
