Date  ,Open  ,High  ,Low  ,Close  ,Change  ,% Change  ,Volume ()  ,Value (')  
16 Sep 2024,24.6,24.8,24.5,24.6,-0.1,-0.4,19900309,490121.73
13 Sep 2024,24.7,25.0,24.5,24.7,0.1,0.41,19880155,491338.15
12 Sep 2024,24.9,25.0,24.6,24.6,-0.2,-0.81,18978383,469837.91
11 Sep 2024,25.0,25.25,24.7,24.8,-0.45,-1.78,29245719,729490.64
10 Sep 2024,25.0,25.25,24.8,25.25,0.25,1.0,19215899,482821.43
09 Sep 2024,24.6,25.0,24.6,25.0,0.5,2.04,29385430,730355.47
06 Sep 2024,25.25,25.5,24.4,24.5,-0.5,-2.0,69148450,1715826.93
05 Sep 2024,25.25,25.5,25.0,25.0,0.0,0.0,31350966,790353.91
04 Sep 2024,24.9,25.25,24.7,25.0,0.0,0.0,23446380,586146.21
03 Sep 2024,24.9,25.5,24.8,25.0,0.1,0.4,23445609,589313.37
02 Sep 2024,24.5,24.9,24.4,24.9,0.3,1.22,16007429,394210.77
30 Aug 2024,24.7,24.9,24.5,24.6,-0.1,-0.4,26473156,652701.78
29 Aug 2024,24.7,25.0,24.5,24.7,-0.3,-1.2,22815313,564573.86
28 Aug 2024,25.0,25.25,24.9,25.0,0.0,0.0,28409286,712158.92
27 Aug 2024,24.6,25.25,24.6,25.0,0.5,2.04,50251398,1259018.51
26 Aug 2024,24.7,24.7,24.4,24.5,-0.2,-0.81,17813900,436610.63
23 Aug 2024,24.7,25.0,24.3,24.7,0.0,0.0,37816117,933310.95
22 Aug 2024,24.4,24.9,24.3,24.7,0.5,2.07,33606837,829148.36
21 Aug 2024,24.5,24.7,24.2,24.2,-0.4,-1.63,19159324,466602.81
20 Aug 2024,24.6,24.8,24.5,24.6,0.0,0.0,12643711,311425.24
