Date  ,Open  ,High  ,Low  ,Close  ,Change  ,% Change  ,Volume ()  ,Value (')  
16 Sep 2024,64.75,65.5,64.75,65.5,1.0,1.55,6648834,433573.12
13 Sep 2024,65.0,65.25,64.25,64.5,0.0,0.0,4775516,308952.42
12 Sep 2024,64.5,65.0,64.25,64.5,0.5,0.78,6463103,417654.12
11 Sep 2024,64.75,65.0,63.0,64.0,-0.5,-0.78,11353720,724364.74
10 Sep 2024,65.0,65.25,64.0,64.5,-0.5,-0.77,7061683,455695.65
09 Sep 2024,66.25,66.5,64.5,65.0,-1.5,-2.26,16175713,1053553.78
06 Sep 2024,62.5,66.5,62.25,66.5,5.25,8.57,37040264,2386103.71
05 Sep 2024,59.5,61.5,59.5,61.25,2.0,3.38,11147434,676520.54
04 Sep 2024,59.0,59.75,58.75,59.25,-0.25,-0.42,5256852,312233.14
03 Sep 2024,59.25,59.75,58.75,59.5,0.0,0.0,4783937,285964.25
02 Sep 2024,59.0,59.5,59.0,59.5,0.0,0.0,1635779,97058.61
30 Aug 2024,59.5,60.0,59.25,59.5,0.0,0.0,7273970,432881.62
29 Aug 2024,59.75,60.0,59.25,59.5,0.0,0.0,2957344,176135.79
28 Aug 2024,59.25,60.0,58.75,59.5,0.25,0.42,5094472,302458.75
27 Aug 2024,59.5,60.0,59.0,59.25,-0.5,-0.84,4395165,261043.84
26 Aug 2024,58.5,59.75,58.0,59.75,1.25,2.14,6318202,372195.93
23 Aug 2024,57.75,59.25,57.75,58.5,0.25,0.43,7161329,419137.61
22 Aug 2024,58.5,59.0,58.0,58.25,-0.25,-0.43,8949924,521241.54
21 Aug 2024,58.25,58.75,57.75,58.5,0.5,0.86,3699264,215792.49
20 Aug 2024,58.5,59.5,57.75,58.0,-0.5,-0.85,4795792,280343.49
