Date  ,Open  ,High  ,Low  ,Close  ,Change  ,% Change  ,Volume ()  ,Value (')  
16 Sep 2024,31.5,32.75,31.5,32.25,0.5,1.57,9177573,295713.47
13 Sep 2024,32.0,32.0,31.5,31.75,0.0,0.0,6298061,199965.36
12 Sep 2024,32.0,32.25,31.5,31.75,0.25,0.79,3866396,123063.34
11 Sep 2024,31.5,31.75,30.75,31.5,0.0,0.0,12526402,392053.91
10 Sep 2024,32.25,32.25,31.25,31.5,-0.75,-2.33,15664270,496240.3
09 Sep 2024,33.0,33.5,32.0,32.25,-1.0,-3.01,23542226,768662.59
06 Sep 2024,32.75,33.75,32.0,33.25,2.25,7.26,44307016,1467393.58
05 Sep 2024,29.75,31.25,29.5,31.0,1.5,5.08,20142960,614397.73
04 Sep 2024,29.5,30.0,29.0,29.5,-0.25,-0.84,8972588,263852.76
03 Sep 2024,29.0,30.25,28.75,29.75,0.75,2.59,8509687,251718.86
02 Sep 2024,29.25,29.5,28.75,29.0,-0.5,-1.69,5861661,170781.48
30 Aug 2024,29.25,29.5,28.5,29.5,0.25,0.85,12752033,371628.95
29 Aug 2024,29.0,29.75,29.0,29.25,0.25,0.86,7587550,222889.76
28 Aug 2024,28.5,29.25,28.5,29.0,0.5,1.75,29521918,853424.71
27 Aug 2024,28.5,28.75,28.25,28.5,-0.25,-0.87,10012291,285272.01
26 Aug 2024,28.5,28.75,28.25,28.75,0.25,0.88,6554959,187681.96
23 Aug 2024,28.25,29.0,28.0,28.5,0.25,0.88,10355278,295866.24
22 Aug 2024,27.75,28.5,27.75,28.25,0.5,1.8,7794309,219609.56
21 Aug 2024,27.75,28.0,27.5,27.75,0.25,0.91,3045055,84615.95
20 Aug 2024,27.75,28.25,27.5,27.5,0.25,0.92,11686569,325468.25
