Date  ,Open  ,High  ,Low  ,Close  ,Change  ,% Change  ,Volume ()  ,Value (')  
16 Sep 2024,103.0,103.5,102.5,102.5,-1.0,-0.97,4723201,485468.06
13 Sep 2024,105.5,105.5,103.0,103.5,-0.5,-0.48,8154217,847894.03
12 Sep 2024,103.5,106.0,103.5,104.0,2.5,2.46,15174308,1589250.15
11 Sep 2024,103.0,104.5,101.5,101.5,-2.5,-2.4,10078301,1033408.21
10 Sep 2024,103.0,104.5,102.0,104.0,2.5,2.46,16872202,1743825.68
09 Sep 2024,98.25,101.5,96.5,101.5,0.5,0.5,36396494,3587347.32
06 Sep 2024,108.0,109.0,101.0,101.0,-6.0,-5.61,30912233,3242355.35
05 Sep 2024,107.0,107.5,105.5,107.0,1.0,0.94,12158380,1296342.96
04 Sep 2024,105.5,106.5,104.5,106.0,-0.5,-0.47,9247866,975253.15
03 Sep 2024,107.0,108.0,106.5,106.5,0.0,0.0,6266348,670296.4
02 Sep 2024,106.0,108.0,106.0,106.5,0.0,0.0,7989777,854069.13
30 Aug 2024,105.5,109.0,105.0,106.5,1.5,1.43,25175186,2694223.25
29 Aug 2024,104.5,106.0,103.0,105.0,-2.0,-1.87,15865519,1661192.94
28 Aug 2024,103.0,108.0,102.5,107.0,4.5,4.39,22876217,2422579.04
27 Aug 2024,102.0,103.5,101.5,102.5,0.0,0.0,7487953,769035.44
26 Aug 2024,100.0,102.5,99.0,102.5,0.5,0.49,12869475,1294773.09
23 Aug 2024,101.5,102.5,101.0,102.0,-1.0,-0.97,9715492,988871.93
22 Aug 2024,103.0,104.5,102.0,103.0,-0.5,-0.48,7824495,805705.65
21 Aug 2024,105.0,105.0,102.0,103.5,-2.0,-1.9,12621827,1305060.73
20 Aug 2024,104.0,107.0,103.5,105.5,2.5,2.43,14118430,1490918.56
