Date  ,Open  ,High  ,Low  ,Close  ,Change  ,% Change  ,Volume ()  ,Value (')  
16 Sep 2024,8.35,10.5,8.0,10.5,2.4,29.63,895578459,8249782.34
13 Sep 2024,7.35,8.25,7.2,8.1,0.9,12.5,604639441,4730064.29
12 Sep 2024,7.1,7.25,7.0,7.2,0.25,3.6,134258181,958975.46
11 Sep 2024,7.2,7.2,6.8,6.95,-0.25,-3.47,162597426,1135387.81
10 Sep 2024,7.05,7.35,6.95,7.2,0.35,5.11,235678206,1686816.96
09 Sep 2024,6.9,7.05,6.7,6.85,0.1,1.48,175682170,1205379.39
06 Sep 2024,6.35,7.15,6.35,6.75,0.55,8.87,314249079,2127917.09
05 Sep 2024,6.25,6.4,6.1,6.2,-0.05,-0.8,145506344,905336.22
04 Sep 2024,6.1,6.35,5.75,6.25,0.15,2.46,277223452,1680865.73
03 Sep 2024,6.2,6.55,6.1,6.1,-0.2,-3.17,133276920,837309.69
02 Sep 2024,6.7,6.85,6.1,6.3,-0.3,-4.55,242500426,1545772.26
30 Aug 2024,6.7,7.2,6.6,6.6,-0.1,-1.49,333561571,2259535.69
29 Aug 2024,7.15,7.25,6.45,6.7,-0.5,-6.94,196305869,1337284.49
28 Aug 2024,7.2,7.45,7.1,7.2,-0.05,-0.69,159582410,1155152.38
27 Aug 2024,7.45,7.65,7.05,7.25,0.05,0.69,229971946,1688295.4
26 Aug 2024,7.9,8.25,7.0,7.2,-0.35,-4.64,385142296,2903540.4
23 Aug 2024,6.05,7.65,6.0,7.55,1.6,26.89,527387906,3714497.71
22 Aug 2024,6.25,6.5,5.7,5.95,0.0,0.0,302825016,1830549.5
21 Aug 2024,5.25,5.95,5.15,5.95,0.85,16.67,244156746,1392549.16
20 Aug 2024,4.9,5.25,4.88,5.1,0.18,3.66,152625473,775359.88
