Date  ,Open  ,High  ,Low  ,Close  ,Change  ,% Change  ,Volume ()  ,Value (')  
16 Sep 2024,123.0,123.5,120.0,123.0,0.0,0.0,1656308,201182.79
13 Sep 2024,122.0,123.5,121.0,123.0,-2.0,-1.6,1803784,220675.49
12 Sep 2024,126.5,126.5,125.0,125.0,-1.0,-0.79,2064788,259247.57
11 Sep 2024,126.0,127.5,125.0,126.0,0.5,0.4,1888403,238020.65
10 Sep 2024,124.0,125.5,121.5,125.5,2.0,1.62,2520122,311838.33
09 Sep 2024,122.0,124.5,121.0,123.5,4.0,3.35,2750856,338017.06
06 Sep 2024,115.0,120.0,115.0,119.5,5.0,4.37,2620456,309558.54
05 Sep 2024,111.5,114.5,111.0,114.5,4.0,3.62,1703962,192270.63
04 Sep 2024,109.5,111.5,109.0,110.5,-0.5,-0.45,1399832,154446.73
03 Sep 2024,107.0,111.0,106.5,111.0,4.0,3.74,1534758,167583.22
02 Sep 2024,107.0,107.5,106.5,107.0,0.0,0.0,511712,54781.87
30 Aug 2024,107.0,108.0,106.5,107.0,0.5,0.47,1281968,137549.5
29 Aug 2024,106.0,108.5,105.0,106.5,0.5,0.47,1422604,152533.2
28 Aug 2024,105.5,106.0,105.0,106.0,0.0,0.0,316045,33352.31
27 Aug 2024,106.5,106.5,105.0,106.0,-0.5,-0.47,244758,25871.1
26 Aug 2024,105.0,106.5,105.0,106.5,2.0,1.91,780701,82677.49
23 Aug 2024,104.0,105.5,104.0,104.5,0.0,0.0,826454,86410.6
22 Aug 2024,104.5,105.0,104.0,104.5,0.0,0.0,562887,58773.72
21 Aug 2024,103.0,105.0,103.0,104.5,2.0,1.95,550352,57338.67
20 Aug 2024,103.0,104.0,102.5,102.5,-0.5,-0.49,490150,50572.88
