Date  ,Open  ,High  ,Low  ,Close  ,Change  ,% Change  ,Volume ()  ,Value (')  
16 Sep 2024,15.6,16.0,15.5,15.9,0.4,2.58,11313619,179333.68
13 Sep 2024,15.7,15.7,15.3,15.5,0.0,0.0,5480615,84861.72
12 Sep 2024,15.5,15.7,15.3,15.5,0.1,0.65,7039765,109016.33
11 Sep 2024,15.7,15.7,15.1,15.4,-0.3,-1.91,9666697,147871.56
10 Sep 2024,15.4,15.7,15.3,15.7,0.4,2.61,11227754,175059.32
09 Sep 2024,15.4,15.7,15.2,15.3,0.0,0.0,13889242,213772.02
06 Sep 2024,15.4,15.8,15.3,15.3,0.2,1.32,18028019,278654.69
05 Sep 2024,14.9,15.3,14.8,15.1,0.2,1.34,12396470,187045.3
04 Sep 2024,14.7,15.0,14.6,14.9,-0.1,-0.67,8824991,130951.39
03 Sep 2024,14.5,15.1,14.5,15.0,0.5,3.45,10433291,154656.35
02 Sep 2024,14.7,14.7,14.5,14.5,-0.3,-2.03,3009624,43914.84
30 Aug 2024,14.8,15.0,14.7,14.8,0.0,0.0,8911573,132280.96
29 Aug 2024,14.9,15.2,14.7,14.8,-0.3,-1.99,9204130,136449.37
28 Aug 2024,15.0,15.3,14.9,15.1,-0.1,-0.66,10077910,151794.44
27 Aug 2024,15.3,15.4,15.0,15.2,-0.1,-0.65,5231268,79428.65
26 Aug 2024,15.3,15.7,15.2,15.3,0.4,2.68,10292062,158759.22
23 Aug 2024,14.4,15.0,14.4,14.9,0.6,4.2,11103401,163614.57
22 Aug 2024,14.4,14.5,14.3,14.3,-0.1,-0.69,2298460,32969.28
21 Aug 2024,14.2,14.4,14.0,14.4,0.1,0.7,5163550,73422.97
20 Aug 2024,14.3,14.6,14.1,14.3,0.0,0.0,8044360,115221.64
