Date  ,Open  ,High  ,Low  ,Close  ,Change  ,% Change  ,Volume ()  ,Value (')  
16 Sep 2024,45.75,47.0,45.75,46.5,1.0,2.2,8329525,386812.82
13 Sep 2024,46.25,46.5,45.25,45.5,-0.75,-1.62,12859481,589029.61
12 Sep 2024,47.0,47.0,46.0,46.25,-0.5,-1.07,8594808,398728.12
11 Sep 2024,46.25,47.75,45.5,46.75,1.5,3.31,30794414,1433062.45
10 Sep 2024,45.0,45.75,44.5,45.25,0.25,0.56,12452922,563915.95
09 Sep 2024,45.0,45.5,44.5,45.0,-0.25,-0.55,12583151,564171.56
06 Sep 2024,44.75,45.75,44.5,45.25,1.25,2.84,20792571,942813.76
05 Sep 2024,43.25,44.75,43.0,44.0,1.5,3.53,22510316,989536.19
04 Sep 2024,41.75,43.75,41.75,42.5,0.25,0.59,26640393,1143716.63
03 Sep 2024,41.0,42.5,41.0,42.25,1.25,3.05,15517650,650311.69
02 Sep 2024,40.5,41.25,39.5,41.0,0.75,1.86,26363234,1065735.98
30 Aug 2024,40.5,41.25,40.25,40.25,0.0,0.0,86712225,3496186.53
29 Aug 2024,40.5,41.0,39.75,40.25,-0.75,-1.83,10617798,426604.49
28 Aug 2024,42.0,42.0,40.5,41.0,-1.25,-2.96,15275705,628209.06
27 Aug 2024,41.5,42.5,41.0,42.25,1.0,2.42,12328652,518499.64
26 Aug 2024,40.25,42.25,40.25,41.25,1.0,2.48,19503827,805667.71
23 Aug 2024,39.75,40.5,39.25,40.25,0.5,1.26,8001080,319970.87
22 Aug 2024,40.25,40.5,39.75,39.75,-0.25,-0.63,3699398,148251.38
21 Aug 2024,40.0,40.5,39.75,40.0,0.0,0.0,4977356,199397.82
20 Aug 2024,39.25,40.75,39.0,40.0,1.0,2.56,15518996,622758.1
