Date  ,Open  ,High  ,Low  ,Close  ,Change  ,% Change  ,Volume ()  ,Value (')  
16 Sep 2024,56.5,56.75,55.75,55.75,-0.5,-0.89,14579663,817966.07
13 Sep 2024,55.25,56.5,55.0,56.25,1.25,2.27,19117143,1066835.68
12 Sep 2024,55.25,55.75,54.75,55.0,0.0,0.0,16113592,889084.55
11 Sep 2024,55.0,55.25,54.25,55.0,-0.25,-0.45,25680045,1405649.51
10 Sep 2024,55.5,55.75,54.75,55.25,-0.25,-0.45,17843111,984744.52
09 Sep 2024,55.75,56.75,55.0,55.5,-0.25,-0.45,29712368,1656131.58
06 Sep 2024,54.0,56.0,54.0,55.75,2.25,4.21,46797652,2591875.45
05 Sep 2024,51.25,53.75,51.25,53.5,2.5,4.9,32299588,1705765.72
04 Sep 2024,50.5,51.25,50.5,51.0,0.25,0.49,9608379,489641.5
03 Sep 2024,50.5,51.25,50.5,50.75,0.0,0.0,6605688,336281.85
02 Sep 2024,50.5,50.75,50.25,50.75,0.0,0.0,8597335,434339.01
30 Aug 2024,51.0,51.25,50.25,50.75,-0.25,-0.49,25255011,1280425.34
29 Aug 2024,51.0,51.5,50.75,51.0,-0.25,-0.49,11096364,567159.95
28 Aug 2024,50.75,51.5,50.25,51.25,0.5,0.99,15282219,779124.88
27 Aug 2024,50.5,50.75,50.25,50.75,0.5,1.0,6185389,312683.9
26 Aug 2024,50.5,50.75,50.0,50.25,-0.25,-0.5,11077599,558030.43
23 Aug 2024,50.25,50.5,49.75,50.5,0.25,0.5,18608774,934438.04
22 Aug 2024,49.75,50.5,49.5,50.25,0.5,1.01,14264110,713501.47
21 Aug 2024,48.75,50.5,48.5,49.75,1.25,2.58,36627973,1818091.97
20 Aug 2024,48.0,48.75,47.75,48.5,0.75,1.57,32241838,1556424.71
