Date  ,Open  ,High  ,Low  ,Close  ,Change  ,% Change  ,Volume ()  ,Value (')  
16 Sep 2024,10.8,11.0,10.6,10.8,0.1,0.93,41414294,447477.24
13 Sep 2024,10.8,10.9,10.6,10.7,0.0,0.0,31300065,335854.07
12 Sep 2024,11.0,11.1,10.7,10.7,-0.2,-1.83,49910810,541198.03
11 Sep 2024,10.7,10.9,10.5,10.9,0.1,0.93,71599845,766005.93
10 Sep 2024,10.6,10.9,10.5,10.8,0.1,0.93,85153982,912169.09
09 Sep 2024,10.7,11.0,10.5,10.7,0.0,0.0,116501217,1247245.38
06 Sep 2024,10.2,10.9,10.0,10.7,0.95,9.74,209916868,2199529.44
05 Sep 2024,9.5,9.75,9.45,9.75,0.35,3.72,103572827,991837.33
04 Sep 2024,9.25,9.45,9.2,9.4,0.1,1.08,45432661,424298.43
03 Sep 2024,9.05,9.4,9.05,9.3,0.25,2.76,55691898,516197.71
02 Sep 2024,9.0,9.1,8.9,9.05,0.0,0.0,16313674,147109.78
30 Aug 2024,9.3,9.3,8.85,9.05,-0.2,-2.16,98978833,893598.6
29 Aug 2024,9.4,9.45,9.2,9.25,-0.1,-1.07,44311806,411343.69
28 Aug 2024,9.5,9.6,9.35,9.35,-0.2,-2.09,71148831,672351.38
27 Aug 2024,9.65,9.65,9.4,9.55,-0.2,-2.05,60945390,579031.66
26 Aug 2024,9.4,9.75,9.4,9.75,0.65,7.14,114745994,1104180.15
23 Aug 2024,8.6,9.35,8.55,9.1,0.6,7.06,125431894,1139091.64
22 Aug 2024,8.45,8.6,8.4,8.5,0.15,1.8,26353088,223606.24
21 Aug 2024,8.3,8.45,8.25,8.35,0.05,0.6,13125698,109869.1
20 Aug 2024,8.4,8.45,8.2,8.3,-0.05,-0.6,36271208,301745.23
