Date  ,Open  ,High  ,Low  ,Close  ,Change  ,% Change  ,Volume ()  ,Value (')  
16 Sep 2024,90.25,90.25,89.25,89.25,-0.5,-0.56,4685455,418942.57
13 Sep 2024,88.5,90.5,88.5,89.75,1.25,1.41,8393296,750705.14
12 Sep 2024,88.75,89.25,88.0,88.5,0.0,0.0,5487351,486629.26
11 Sep 2024,89.25,89.5,88.0,88.5,-0.5,-0.56,6702508,594097.5
10 Sep 2024,88.5,89.5,88.5,89.0,0.25,0.28,4555647,405504.78
09 Sep 2024,90.25,90.5,88.0,88.75,-1.75,-1.93,10194292,908734.75
06 Sep 2024,89.0,91.0,88.75,90.5,1.5,1.69,17025789,1533915.07
05 Sep 2024,84.0,89.0,84.0,89.0,5.25,6.27,30919718,2698211.87
04 Sep 2024,82.75,83.75,82.5,83.75,0.5,0.6,7040175,586500.84
03 Sep 2024,82.25,83.25,82.25,83.25,0.75,0.91,6567242,544542.21
02 Sep 2024,82.0,82.5,81.75,82.5,0.0,0.0,3632245,298631.45
30 Aug 2024,82.75,83.0,81.5,82.5,-0.75,-0.9,11178270,919307.81
29 Aug 2024,84.0,84.25,82.5,83.25,-1.0,-1.19,6904146,573923.28
28 Aug 2024,83.75,84.25,83.25,84.25,0.75,0.9,6899062,578671.11
27 Aug 2024,83.25,84.0,83.25,83.5,-0.25,-0.3,4287525,357924.43
26 Aug 2024,83.5,84.25,83.0,83.75,0.25,0.3,5896784,492816.05
23 Aug 2024,84.0,84.25,82.5,83.5,-1.0,-1.18,11325712,944744.53
22 Aug 2024,84.0,85.0,83.75,84.5,0.0,0.0,5158047,434914.35
21 Aug 2024,83.5,84.75,83.0,84.5,1.0,1.2,9216836,775810.2
20 Aug 2024,82.75,84.0,82.5,83.5,-1.0,-1.18,9108544,758245.26
