Date  ,Open  ,High  ,Low  ,Close  ,Change  ,% Change  ,Volume ()  ,Value (')  
16 Sep 2024,19.4,19.7,19.2,19.4,-0.1,-0.51,12282240,238970.12
13 Sep 2024,19.4,19.5,19.2,19.5,0.1,0.52,10240687,198554.56
12 Sep 2024,19.5,19.7,19.2,19.4,0.1,0.52,16904511,328156.8
11 Sep 2024,19.9,20.0,19.2,19.3,-0.8,-3.98,27233218,532473.09
10 Sep 2024,20.1,20.5,20.0,20.1,0.0,0.0,17456050,353131.14
09 Sep 2024,19.7,20.2,19.5,20.1,0.3,1.52,17391722,347154.94
06 Sep 2024,20.2,20.6,19.7,19.8,-0.4,-1.98,27454784,549355.5
05 Sep 2024,20.2,20.5,20.1,20.2,0.1,0.5,9949598,201309.99
04 Sep 2024,20.1,20.6,20.0,20.1,0.0,0.0,10005576,203136.82
03 Sep 2024,20.0,20.3,19.9,20.1,0.1,0.5,10639803,213940.66
02 Sep 2024,20.3,20.5,19.9,20.0,-0.3,-1.48,7817945,156670.75
30 Aug 2024,20.7,20.8,20.3,20.3,-0.4,-1.93,8395910,172224.23
29 Aug 2024,20.4,21.0,20.4,20.7,0.2,0.98,9636277,199509.4
28 Aug 2024,20.4,20.7,20.2,20.5,0.0,0.0,10656409,218372.34
27 Aug 2024,20.2,21.1,19.9,20.5,0.7,3.54,22026946,450637.58
26 Aug 2024,20.5,20.5,19.5,19.8,-0.8,-3.88,24240260,480549.43
23 Aug 2024,20.8,21.1,20.2,20.6,-0.2,-0.96,18567384,381554.66
22 Aug 2024,21.3,21.4,20.8,20.8,-0.2,-0.95,13189154,276613.69
21 Aug 2024,21.8,21.9,21.0,21.0,-0.8,-3.67,9975287,211500.01
20 Aug 2024,21.8,22.3,21.8,21.8,-0.1,-0.46,6455112,141818.26
