Date  ,Open  ,High  ,Low  ,Close  ,Change  ,% Change  ,Volume ()  ,Value (')  
16 Sep 2024,21.7,24.2,21.7,23.9,2.4,11.16,128937931,3024694.28
13 Sep 2024,21.5,21.8,21.3,21.5,0.2,0.94,38393224,827555.24
12 Sep 2024,21.1,21.4,20.9,21.3,0.2,0.95,27965480,591066.51
11 Sep 2024,21.2,21.7,20.8,21.1,0.2,0.96,63086356,1340109.38
10 Sep 2024,20.8,21.5,20.7,20.9,0.2,0.97,55678073,1174598.95
09 Sep 2024,20.8,21.0,20.3,20.7,-0.1,-0.48,43586218,900651.38
06 Sep 2024,20.5,21.1,20.4,20.8,0.2,0.97,49532750,1026985.13
05 Sep 2024,19.8,20.8,19.8,20.6,1.0,5.1,56866264,1160706.85
04 Sep 2024,19.5,20.1,19.3,19.6,0.1,0.51,64800568,1274696.86
03 Sep 2024,18.6,20.0,18.5,19.5,1.1,5.98,71905801,1394799.76
02 Sep 2024,17.5,18.7,17.4,18.4,1.3,7.6,94380445,1709603.41
30 Aug 2024,18.1,18.3,17.1,17.1,-0.9,-5.0,226348834,3896422.55
29 Aug 2024,18.2,18.4,17.9,18.0,-0.4,-2.17,22468700,406690.92
28 Aug 2024,19.0,19.1,18.3,18.4,-0.8,-4.17,26718686,498530.96
27 Aug 2024,19.0,19.4,18.9,19.2,0.1,0.52,16143779,308680.21
26 Aug 2024,19.0,19.4,18.8,19.1,0.3,1.6,21843778,417015.8
23 Aug 2024,18.4,19.1,18.3,18.8,0.4,2.17,20087624,377001.5
22 Aug 2024,18.5,18.6,18.4,18.4,-0.1,-0.54,11340009,209324.93
21 Aug 2024,18.3,18.6,18.3,18.5,0.1,0.54,12566071,231706.83
20 Aug 2024,18.5,18.9,18.3,18.4,0.0,0.0,20153956,373870.97
