Date  ,Open  ,High  ,Low  ,Close  ,Change  ,% Change  ,Volume ()  ,Value (')  
16 Sep 2024,157.0,158.0,156.5,157.5,0.0,0.0,10953011,1722347.03
13 Sep 2024,158.0,158.5,157.0,157.5,-0.5,-0.32,16273083,2565002.22
12 Sep 2024,156.5,158.0,155.5,158.0,2.0,1.28,18757145,2945376.01
11 Sep 2024,155.0,156.0,154.5,156.0,0.5,0.32,18289123,2839115.2
10 Sep 2024,155.0,156.0,154.5,155.5,0.0,0.0,18350098,2849542.78
09 Sep 2024,157.0,159.0,154.0,155.5,3.0,1.97,33356849,5201993.99
06 Sep 2024,147.0,152.5,147.0,152.5,6.0,4.1,35333544,5307369.85
05 Sep 2024,144.5,147.5,144.5,146.5,3.5,2.45,21914894,3201321.68
04 Sep 2024,143.0,144.0,142.5,143.0,-1.0,-0.69,10880995,1558483.51
03 Sep 2024,142.0,144.5,142.0,144.0,2.5,1.77,14864565,2134263.19
02 Sep 2024,142.5,143.0,140.5,141.5,-1.5,-1.05,11724956,1661428.75
30 Aug 2024,143.5,144.0,142.5,143.0,-0.5,-0.35,13254750,1899159.13
29 Aug 2024,144.0,145.5,143.0,143.5,0.0,0.0,13694397,1974539.65
28 Aug 2024,143.0,144.0,142.5,143.5,0.0,0.0,9051071,1296298.33
27 Aug 2024,144.0,144.5,142.5,143.5,-1.0,-0.69,12036012,1722142.32
26 Aug 2024,143.5,144.5,141.5,144.5,1.5,1.05,12438928,1784101.71
23 Aug 2024,140.5,143.0,140.0,143.0,3.0,2.14,22853565,3237832.54
22 Aug 2024,140.0,141.0,139.5,140.0,0.0,0.0,12662406,1773957.82
21 Aug 2024,139.0,140.5,138.5,140.0,1.5,1.08,8771446,1225989.74
20 Aug 2024,139.0,140.0,138.0,138.5,0.0,0.0,17235673,2397040.15
