Date  ,Open  ,High  ,Low  ,Close  ,Change  ,% Change  ,Volume ()  ,Value (')  
16 Sep 2024,20.6,20.6,20.3,20.4,-0.1,-0.49,34808248,711537.61
13 Sep 2024,20.6,21.0,20.5,20.5,0.0,0.0,156115594,3229455.69
12 Sep 2024,20.2,20.6,20.2,20.5,0.3,1.49,57228575,1167664.28
11 Sep 2024,20.2,20.3,20.0,20.2,-0.1,-0.49,75983513,1531641.36
10 Sep 2024,20.4,20.5,20.2,20.3,-0.1,-0.49,89262147,1811984.4
09 Sep 2024,20.2,20.5,20.0,20.4,0.2,0.99,136942112,2777912.55
06 Sep 2024,19.4,20.3,19.3,20.2,0.9,4.66,251010682,4975478.46
05 Sep 2024,18.9,19.4,18.9,19.3,0.4,2.12,127831146,2453983.99
04 Sep 2024,18.4,18.9,18.4,18.9,0.3,1.61,62252959,1163902.4
03 Sep 2024,18.4,18.7,18.3,18.6,0.3,1.64,38440720,713261.71
02 Sep 2024,18.3,18.6,18.2,18.3,0.0,0.0,38717177,712988.63
30 Aug 2024,18.6,18.7,18.3,18.3,-0.4,-2.14,54267415,998698.29
29 Aug 2024,18.7,18.9,18.6,18.7,0.1,0.54,33752394,633662.47
28 Aug 2024,18.6,18.8,18.5,18.6,0.1,0.54,28641164,533863.79
27 Aug 2024,18.7,18.8,18.5,18.5,-0.2,-1.07,33554234,623588.95
26 Aug 2024,18.7,18.8,18.6,18.7,-0.1,-0.53,29200665,546621.0
23 Aug 2024,18.5,18.9,18.4,18.8,0.4,2.17,66813522,1250047.58
22 Aug 2024,18.4,18.6,18.3,18.4,0.1,0.55,35362139,653125.15
21 Aug 2024,18.1,18.4,18.0,18.3,0.1,0.55,34477027,627096.04
20 Aug 2024,18.4,18.5,18.2,18.2,-0.2,-1.09,20144610,369720.34
