Date  ,Open  ,High  ,Low  ,Close  ,Change  ,% Change  ,Volume ()  ,Value (')  
16 Sep 2024,45.25,46.5,45.0,46.5,1.25,2.76,5727649,261800.51
13 Sep 2024,45.25,45.75,44.75,45.25,0.0,0.0,8562640,386860.69
12 Sep 2024,44.75,45.25,44.5,45.25,0.25,0.56,5936685,266637.04
11 Sep 2024,44.75,45.0,44.5,45.0,0.25,0.56,5103852,228482.29
10 Sep 2024,44.5,45.0,44.25,44.75,-0.25,-0.56,6287530,281150.04
09 Sep 2024,44.75,45.25,44.25,45.0,0.5,1.12,7981904,356923.29
06 Sep 2024,44.75,45.25,44.25,44.5,0.5,1.14,25193747,1122738.19
05 Sep 2024,42.25,44.25,42.25,44.0,1.75,4.14,9874485,432262.69
04 Sep 2024,42.0,42.75,42.0,42.25,0.0,0.0,3485149,147446.36
03 Sep 2024,41.75,42.75,41.75,42.25,0.5,1.2,5743876,243028.59
02 Sep 2024,41.25,42.25,41.0,41.75,0.0,0.0,8164266,339253.48
30 Aug 2024,42.5,43.0,41.5,41.75,-1.0,-2.34,5046629,211982.74
29 Aug 2024,43.0,43.5,42.5,42.75,-0.5,-1.16,3055898,131188.86
28 Aug 2024,42.75,43.5,42.5,43.25,0.5,1.17,2106118,90814.31
27 Aug 2024,42.5,43.25,42.0,42.75,0.25,0.59,4003023,170989.52
26 Aug 2024,42.5,42.5,41.5,42.5,0.25,0.59,4028371,169399.14
23 Aug 2024,41.25,42.75,41.25,42.25,0.5,1.2,6482925,273588.1
22 Aug 2024,41.5,42.0,41.25,41.75,0.5,1.21,5865892,244073.76
21 Aug 2024,40.5,41.5,40.5,41.25,0.75,1.85,3654983,150660.52
20 Aug 2024,41.0,41.25,40.5,40.5,-0.5,-1.22,2306725,94134.52
