Date  ,Open  ,High  ,Low  ,Close  ,Change  ,% Change  ,Volume ()  ,Value (')  
16 Sep 2024,6.1,6.1,6.0,6.1,0.05,0.83,18522290,112468.26
13 Sep 2024,6.05,6.1,6.0,6.05,0.05,0.83,27854392,168630.14
12 Sep 2024,6.0,6.1,5.95,6.0,0.05,0.84,19138008,115306.73
11 Sep 2024,6.1,6.15,5.9,5.95,-0.15,-2.46,94771848,568518.77
10 Sep 2024,6.1,6.15,6.0,6.1,0.05,0.83,72875420,444378.2
09 Sep 2024,6.1,6.15,6.0,6.05,0.0,0.0,88130418,536379.55
06 Sep 2024,5.95,6.15,5.95,6.05,0.2,3.42,128999716,781168.85
05 Sep 2024,5.85,5.9,5.75,5.85,0.2,3.54,54621180,319220.58
04 Sep 2024,5.65,5.7,5.55,5.65,0.0,0.0,37217210,209380.95
03 Sep 2024,5.6,5.7,5.55,5.65,0.05,0.89,42860290,241117.29
02 Sep 2024,5.6,5.65,5.55,5.6,-0.05,-0.88,33760431,189069.05
30 Aug 2024,5.6,5.65,5.6,5.65,0.0,0.0,34221144,192820.93
29 Aug 2024,5.6,5.65,5.55,5.65,0.05,0.89,37749756,212207.67
28 Aug 2024,5.6,5.65,5.5,5.6,0.0,0.0,49799181,278002.24
27 Aug 2024,5.65,5.65,5.55,5.6,0.0,0.0,34466278,193405.35
26 Aug 2024,5.45,5.65,5.4,5.6,0.15,2.75,140836459,778909.4
23 Aug 2024,5.45,5.55,5.4,5.45,0.0,0.0,130515574,715779.31
22 Aug 2024,5.45,5.5,5.4,5.45,0.0,0.0,23669458,129047.4
21 Aug 2024,5.4,5.5,5.35,5.45,0.05,0.93,21673770,117822.9
20 Aug 2024,5.45,5.5,5.3,5.4,0.0,0.0,62823963,339352.54
