Date  ,Open  ,High  ,Low  ,Close  ,Change  ,% Change  ,Volume ()  ,Value (')  
16 Sep 2024,28.0,28.5,27.75,28.5,0.5,1.79,27223126,765652.4
13 Sep 2024,28.25,28.5,28.0,28.0,0.0,0.0,7540462,212088.5
12 Sep 2024,28.0,28.5,27.75,28.0,0.0,0.0,6776513,189997.64
11 Sep 2024,28.25,28.5,27.75,28.0,-0.25,-0.88,16340118,457647.63
10 Sep 2024,28.75,28.75,28.0,28.25,-0.5,-1.74,24054169,681952.56
09 Sep 2024,28.5,28.75,28.0,28.75,0.5,1.77,16373696,466539.92
06 Sep 2024,28.25,28.5,28.0,28.25,0.25,0.89,18957106,536938.33
05 Sep 2024,26.75,28.0,26.75,28.0,1.25,4.67,32026815,880655.06
04 Sep 2024,26.5,26.75,26.5,26.75,-0.25,-0.93,8633255,230338.09
03 Sep 2024,26.75,27.0,26.5,27.0,0.0,0.0,16387828,438685.01
02 Sep 2024,27.25,27.25,26.75,27.0,0.0,0.0,10035409,271075.68
30 Aug 2024,26.5,27.0,26.25,27.0,0.5,1.89,18583016,498000.88
29 Aug 2024,26.5,26.75,26.5,26.5,0.0,0.0,6568991,174299.55
28 Aug 2024,26.75,26.75,26.0,26.5,-0.25,-0.93,11380742,301671.06
27 Aug 2024,26.75,27.0,25.75,26.75,0.25,0.94,25423129,670437.86
26 Aug 2024,26.5,26.75,26.0,26.5,0.25,0.95,17157586,453367.26
23 Aug 2024,26.75,27.25,26.0,26.25,-0.25,-0.94,21190774,563335.08
22 Aug 2024,26.5,26.75,26.0,26.5,0.0,0.0,11797654,312080.27
21 Aug 2024,26.25,26.75,26.0,26.5,0.25,0.95,8297900,219244.19
20 Aug 2024,26.25,26.5,26.0,26.25,0.25,0.96,13771062,361112.89
