Date  ,Open  ,High  ,Low  ,Close  ,Change  ,% Change  ,Volume ()  ,Value (')  
16 Sep 2024,16.8,17.2,16.7,17.0,0.3,1.8,28828038,491217.49
13 Sep 2024,16.9,16.9,16.6,16.7,0.0,0.0,6621126,110992.82
12 Sep 2024,16.8,16.9,16.7,16.7,0.0,0.0,7464039,125281.85
11 Sep 2024,16.7,16.8,16.5,16.7,-0.2,-1.18,28073531,467002.91
10 Sep 2024,17.2,17.3,16.8,16.9,-0.3,-1.74,16714454,283726.53
09 Sep 2024,17.1,17.3,16.8,17.2,0.1,0.58,41972423,717566.13
06 Sep 2024,16.4,17.1,16.4,17.1,0.9,5.56,37417580,630062.57
05 Sep 2024,15.4,16.3,15.4,16.2,0.9,5.88,41847654,667437.5
04 Sep 2024,15.0,15.4,15.0,15.3,0.2,1.32,5878709,89412.11
03 Sep 2024,15.0,15.2,14.9,15.1,0.1,0.67,13453956,203025.76
02 Sep 2024,15.2,15.3,15.0,15.0,-0.5,-3.23,13338389,201347.99
30 Aug 2024,15.6,15.6,15.3,15.5,-0.1,-0.64,20582313,318767.15
29 Aug 2024,15.6,15.7,15.5,15.6,0.0,0.0,4695021,73205.42
28 Aug 2024,15.6,15.7,15.3,15.6,0.0,0.0,10698613,166215.38
27 Aug 2024,15.4,15.7,15.3,15.6,0.3,1.96,21869619,340219.07
26 Aug 2024,15.6,15.6,15.3,15.3,-0.2,-1.29,20549669,316542.8
23 Aug 2024,15.4,15.6,15.2,15.5,0.1,0.65,11944324,184528.67
22 Aug 2024,14.8,15.4,14.7,15.4,0.6,4.05,20200079,304432.24
21 Aug 2024,14.6,14.9,14.5,14.8,0.4,2.78,10873647,159815.47
20 Aug 2024,14.6,14.7,14.4,14.4,-0.2,-1.37,12744540,185008.08
