Date  ,Open  ,High  ,Low  ,Close  ,Change  ,% Change  ,Volume ()  ,Value (')  
16 Sep 2024,23.4,23.7,23.2,23.3,-0.1,-0.43,11752295,275000.01
13 Sep 2024,23.8,23.8,23.3,23.4,-0.4,-1.68,12363779,290326.03
12 Sep 2024,24.0,24.0,23.5,23.8,0.0,0.0,6959391,165129.92
11 Sep 2024,24.0,24.0,23.4,23.8,-0.1,-0.42,13331362,315976.35
10 Sep 2024,23.6,24.2,23.5,23.9,0.3,1.27,16383903,391915.45
09 Sep 2024,22.8,24.1,22.8,23.6,0.9,3.96,27322090,640913.82
06 Sep 2024,23.0,23.3,22.6,22.7,0.0,0.0,25278998,579896.83
05 Sep 2024,22.2,22.7,22.2,22.7,0.6,2.71,14965488,337121.69
04 Sep 2024,22.1,22.3,21.9,22.1,0.0,0.0,13491857,297991.02
03 Sep 2024,21.2,22.2,21.2,22.1,1.2,5.74,35755227,780309.2
02 Sep 2024,21.5,21.5,20.5,20.9,-1.5,-6.7,37710809,786968.99
30 Aug 2024,22.4,22.6,22.2,22.4,-0.1,-0.44,7148969,160089.32
29 Aug 2024,22.5,22.9,22.4,22.5,-0.2,-0.88,6898278,155852.36
28 Aug 2024,22.8,22.9,22.6,22.7,-0.1,-0.44,7825730,178018.49
27 Aug 2024,22.8,22.9,22.6,22.8,0.0,0.0,9358022,212447.69
26 Aug 2024,23.3,23.3,22.4,22.8,-0.2,-0.87,18228507,413702.61
23 Aug 2024,22.8,23.2,22.8,23.0,0.2,0.88,7868685,181010.08
22 Aug 2024,22.3,22.9,22.2,22.8,0.7,3.17,15900550,358567.8
21 Aug 2024,22.0,22.2,21.7,22.1,0.1,0.45,12149099,266898.44
20 Aug 2024,22.4,22.5,21.8,22.0,-0.3,-1.35,19194532,423832.53
