Date  ,Open  ,High  ,Low  ,Close  ,Change  ,% Change  ,Volume ()  ,Value (')  
16 Sep 2024,32.75,33.25,32.75,33.25,0.25,0.76,34969778,1154669.6
13 Sep 2024,33.0,33.25,32.75,33.0,0.0,0.0,47390927,1563513.05
12 Sep 2024,33.0,33.5,33.0,33.0,0.0,0.0,45837767,1518686.25
11 Sep 2024,33.75,33.75,32.75,33.0,-0.75,-2.22,111594057,3700224.81
10 Sep 2024,34.25,34.5,33.75,33.75,-0.5,-1.46,56955060,1932274.19
09 Sep 2024,34.75,35.0,34.25,34.25,-0.5,-1.44,63948463,2207520.34
06 Sep 2024,34.0,35.0,34.0,34.75,1.0,2.96,111742799,3860414.35
05 Sep 2024,33.0,34.0,32.75,33.75,0.75,2.27,104392373,3490798.06
04 Sep 2024,33.0,33.25,33.0,33.0,-0.25,-0.75,23402085,772900.52
03 Sep 2024,33.25,33.5,33.0,33.25,0.0,0.0,25751020,856654.16
02 Sep 2024,33.5,33.5,33.25,33.25,-0.25,-0.75,8696167,290187.53
30 Aug 2024,33.5,33.75,33.25,33.5,0.0,0.0,63784593,2138584.84
29 Aug 2024,33.25,33.5,33.25,33.5,0.25,0.75,6360299,212627.66
28 Aug 2024,33.75,34.0,33.25,33.25,-1.25,-3.62,54464667,1823448.13
27 Aug 2024,34.75,34.75,34.25,34.5,-0.25,-0.72,46007055,1586948.61
26 Aug 2024,34.5,34.75,34.25,34.75,0.25,0.72,19068873,658824.58
23 Aug 2024,34.25,34.75,34.25,34.5,0.25,0.73,45909786,1581834.14
22 Aug 2024,34.25,34.5,34.0,34.25,0.0,0.0,42501932,1456840.2
21 Aug 2024,34.25,34.25,34.0,34.25,0.0,0.0,22287685,762259.88
20 Aug 2024,34.5,34.5,34.0,34.25,-0.25,-0.72,30252033,1037376.31
