Date  ,Open  ,High  ,Low  ,Close  ,Change  ,% Change  ,Volume ()  ,Value (')  
16 Sep 2024,138.5,139.0,137.0,137.0,-1.5,-1.08,7927667,1089341.94
13 Sep 2024,139.0,139.5,138.0,138.5,0.5,0.36,8869073,1230057.78
12 Sep 2024,139.0,139.5,137.5,138.0,-0.5,-0.36,8420095,1164749.76
11 Sep 2024,138.5,139.0,137.0,138.5,-1.5,-1.07,17249913,2382329.23
10 Sep 2024,143.0,143.5,140.0,140.0,-4.0,-2.78,11396267,1608662.76
09 Sep 2024,142.0,144.0,141.0,144.0,2.5,1.77,12926529,1843484.76
06 Sep 2024,141.0,142.5,140.5,141.5,1.0,0.71,18214087,2573926.06
05 Sep 2024,138.0,140.5,137.0,140.5,2.5,1.81,22025822,3059992.42
04 Sep 2024,137.5,138.0,137.0,138.0,-1.5,-1.08,7122201,980365.12
03 Sep 2024,139.5,140.5,139.0,139.5,-0.5,-0.36,10600074,1480740.9
02 Sep 2024,140.0,140.5,139.5,140.0,-1.5,-1.06,7438013,1040783.52
30 Aug 2024,143.0,143.0,141.0,141.5,-0.5,-0.35,13276967,1880294.55
29 Aug 2024,142.0,143.0,142.0,142.0,-1.0,-0.7,4234108,602619.51
28 Aug 2024,144.0,144.0,142.5,143.0,-2.0,-1.38,6717630,961555.62
27 Aug 2024,146.0,146.0,145.0,145.0,1.0,0.69,8281384,1205027.0
26 Aug 2024,144.5,145.0,144.0,144.0,1.0,0.7,8329797,1202738.57
23 Aug 2024,142.0,143.5,141.5,143.0,2.0,1.42,8650679,1235426.77
22 Aug 2024,141.0,141.5,139.5,141.0,-0.5,-0.35,9187715,1292680.06
21 Aug 2024,141.0,142.0,140.5,141.5,0.5,0.35,9706913,1369318.12
20 Aug 2024,142.5,143.0,140.5,141.0,-3.0,-2.08,11401411,1614405.32
