Date  ,Open  ,High  ,Low  ,Close  ,Change  ,% Change  ,Volume ()  ,Value (')  
16 Sep 2024,27.25,28.75,27.25,28.75,1.5,5.5,22609445,640271.5
13 Sep 2024,27.5,28.0,27.25,27.25,0.0,0.0,10294102,284411.36
12 Sep 2024,26.75,27.75,26.5,27.25,0.5,1.87,11481233,312137.66
11 Sep 2024,27.0,27.75,26.5,26.75,-0.75,-2.73,28665176,771053.34
10 Sep 2024,28.0,28.25,27.0,27.5,-0.5,-1.79,16518824,455340.76
09 Sep 2024,28.0,28.75,27.5,28.0,0.0,0.0,21872557,609310.67
06 Sep 2024,27.5,28.25,27.25,28.0,0.75,2.75,21230109,591349.86
05 Sep 2024,26.5,27.5,26.25,27.25,1.75,6.86,32993681,889983.01
04 Sep 2024,25.75,26.0,25.25,25.5,-0.5,-1.92,10326983,264725.56
03 Sep 2024,25.0,26.25,25.0,26.0,1.0,4.0,14180660,366229.3
02 Sep 2024,24.9,25.5,24.8,25.0,0.0,0.0,10721650,268204.19
30 Aug 2024,25.0,25.25,24.7,25.0,0.0,0.0,24633385,614230.84
29 Aug 2024,25.0,25.5,24.6,25.0,-0.25,-0.99,15602540,389138.66
28 Aug 2024,25.25,25.5,25.0,25.25,0.0,0.0,9363034,236331.27
27 Aug 2024,25.5,26.0,25.25,25.25,-0.5,-1.94,14559794,371405.73
26 Aug 2024,25.5,26.25,25.25,25.75,0.5,1.98,18759569,484505.12
23 Aug 2024,24.4,25.5,24.4,25.25,0.95,3.91,30518928,763240.78
22 Aug 2024,24.0,24.5,23.9,24.3,0.2,0.83,15546098,376270.24
21 Aug 2024,23.7,24.4,23.7,24.1,0.5,2.12,25160876,606479.56
20 Aug 2024,24.5,24.8,23.5,23.6,-0.9,-3.67,21691951,520811.94
