Date  ,Open  ,High  ,Low  ,Close  ,Change  ,% Change  ,Volume ()  ,Value (')  
16 Sep 2024,32.0,33.0,31.75,33.0,1.25,3.94,6254402,202688.63
13 Sep 2024,32.0,32.25,31.75,31.75,0.0,0.0,1634357,52150.24
12 Sep 2024,32.0,32.25,31.75,31.75,0.0,0.0,3798931,121501.27
11 Sep 2024,31.75,32.25,31.25,31.75,0.25,0.79,4999260,158083.68
10 Sep 2024,32.25,32.25,31.0,31.5,-0.5,-1.56,8139956,256490.44
09 Sep 2024,32.5,32.5,31.5,32.0,0.0,0.0,4507536,144239.11
06 Sep 2024,31.0,32.25,31.0,32.0,1.25,4.07,7823001,247481.66
05 Sep 2024,30.25,31.0,30.0,30.75,0.0,0.0,9116953,278605.49
04 Sep 2024,30.75,31.0,30.5,30.75,-0.25,-0.81,3900675,119994.27
03 Sep 2024,30.5,31.0,30.25,31.0,0.75,2.48,2446311,75331.32
02 Sep 2024,30.5,30.75,30.0,30.25,-0.25,-0.82,3117645,94601.05
30 Aug 2024,30.5,30.75,30.25,30.5,0.0,0.0,2345354,71539.22
29 Aug 2024,30.5,31.0,30.25,30.5,0.0,0.0,2514603,77004.49
28 Aug 2024,30.75,31.0,30.5,30.5,-0.25,-0.81,1434381,43974.59
27 Aug 2024,31.0,31.0,30.5,30.75,0.0,0.0,1830814,56358.64
26 Aug 2024,30.75,31.0,30.5,30.75,0.25,0.82,1730541,53213.91
23 Aug 2024,30.5,30.75,30.5,30.5,0.0,0.0,2920644,89104.32
22 Aug 2024,30.75,31.0,30.5,30.5,-0.25,-0.81,1254585,38334.56
21 Aug 2024,30.0,30.75,29.75,30.75,0.75,2.5,2864498,86843.9
20 Aug 2024,30.5,30.75,30.0,30.0,-0.5,-1.64,2523176,76325.61
