Date  ,Open  ,High  ,Low  ,Close  ,Change  ,% Change  ,Volume ()  ,Value (')  
16 Sep 2024,111.5,112.0,110.5,112.0,0.0,0.0,9442925,1050866.69
13 Sep 2024,113.5,114.5,112.0,112.0,-1.0,-0.88,24221518,2740031.86
12 Sep 2024,112.5,113.5,112.5,113.0,0.5,0.44,12127374,1370770.09
11 Sep 2024,112.0,113.0,111.5,112.5,0.5,0.45,15097150,1692409.21
10 Sep 2024,112.0,113.0,111.5,112.0,0.0,0.0,14042147,1575557.94
09 Sep 2024,115.0,115.5,112.0,112.0,-1.5,-1.32,34781434,3942569.56
06 Sep 2024,108.5,113.5,108.0,113.5,6.0,5.58,45002867,4985330.21
05 Sep 2024,106.0,108.0,105.5,107.5,0.5,0.47,18314004,1959803.56
04 Sep 2024,107.5,108.0,107.0,107.0,-0.5,-0.47,8888565,955075.6
03 Sep 2024,107.0,108.0,107.0,107.5,1.0,0.94,10117973,1087009.91
02 Sep 2024,107.0,107.5,106.0,106.5,-0.5,-0.47,8065034,860572.04
30 Aug 2024,107.5,108.5,107.0,107.0,-0.5,-0.47,8292658,890955.87
29 Aug 2024,108.0,108.5,107.5,107.5,0.0,0.0,5905373,637749.1
28 Aug 2024,107.0,108.0,106.5,107.5,0.5,0.47,6491581,696208.45
27 Aug 2024,108.0,108.5,107.0,107.0,-1.0,-0.93,7029043,756139.2
26 Aug 2024,109.0,109.0,107.0,108.0,-1.0,-0.92,10403793,1122506.52
23 Aug 2024,106.5,109.5,105.5,109.0,3.0,2.83,59028396,6346825.95
22 Aug 2024,106.5,106.5,105.5,106.0,-0.5,-0.47,2849670,301880.27
21 Aug 2024,106.0,106.5,105.5,106.5,0.5,0.47,11751077,1246291.06
20 Aug 2024,106.5,107.0,105.5,106.0,-0.5,-0.47,11291309,1199638.02
