Date  ,Open  ,High  ,Low  ,Close  ,Change  ,% Change  ,Volume ()  ,Value (')  
16 Sep 2024,242.0,249.0,240.0,249.0,8.0,3.32,4692690,1149286.27
13 Sep 2024,238.0,242.0,238.0,241.0,4.0,1.69,1475611,355517.0
12 Sep 2024,240.0,241.0,236.0,237.0,-2.0,-0.84,995250,237022.38
11 Sep 2024,242.0,243.0,237.0,239.0,-3.0,-1.24,3448023,825142.03
10 Sep 2024,248.0,248.0,242.0,242.0,-5.0,-2.02,3402448,830334.25
09 Sep 2024,247.0,249.0,245.0,247.0,-2.0,-0.8,4120886,1016815.8
06 Sep 2024,243.0,249.0,242.0,249.0,10.0,4.18,4810044,1182978.16
05 Sep 2024,230.0,239.0,229.0,239.0,11.0,4.82,5752878,1352043.44
04 Sep 2024,225.0,228.0,225.0,228.0,1.0,0.44,1609285,365190.58
03 Sep 2024,228.0,229.0,226.0,227.0,-1.0,-0.44,752003,171074.22
02 Sep 2024,228.0,229.0,226.0,228.0,-2.0,-0.87,1640959,373516.8
30 Aug 2024,224.0,230.0,222.0,230.0,6.0,2.68,3682832,840083.24
29 Aug 2024,223.0,224.0,221.0,224.0,1.0,0.45,855633,190784.63
28 Aug 2024,224.0,224.0,220.0,223.0,1.0,0.45,1785354,395689.25
27 Aug 2024,221.0,224.0,219.0,222.0,1.0,0.45,1901701,421450.06
26 Aug 2024,213.0,222.0,213.0,221.0,10.0,4.74,2760032,601504.92
23 Aug 2024,209.0,212.0,209.0,211.0,2.0,0.96,1261702,266307.52
22 Aug 2024,210.0,210.0,208.0,209.0,0.0,0.0,541440,113080.85
21 Aug 2024,206.0,210.0,205.0,209.0,4.0,1.95,1071536,222890.28
20 Aug 2024,209.0,212.0,205.0,205.0,-3.0,-1.44,2405932,499166.33
