Date  ,Open  ,High  ,Low  ,Close  ,Change  ,% Change  ,Volume ()  ,Value (')  
16 Sep 2024,27.0,27.5,26.5,27.5,0.0,0.0,21579380,586679.81
13 Sep 2024,27.75,28.0,27.25,27.5,0.0,0.0,6575688,181214.12
12 Sep 2024,28.25,28.5,27.25,27.5,-0.75,-2.65,10223859,282832.19
11 Sep 2024,28.0,28.5,27.75,28.25,0.25,0.89,12671458,356006.67
10 Sep 2024,28.5,29.0,28.0,28.0,-0.5,-1.75,12250421,346362.4
09 Sep 2024,28.0,28.75,27.5,28.5,0.75,2.7,14126447,397774.51
06 Sep 2024,28.0,28.5,27.75,27.75,0.75,2.78,13069475,367003.67
05 Sep 2024,25.25,27.5,25.25,27.0,2.0,8.0,25729551,686342.02
04 Sep 2024,24.5,25.25,24.3,25.0,0.3,1.21,17579311,434267.47
03 Sep 2024,24.2,25.25,24.2,24.7,0.6,2.49,16952402,420841.31
02 Sep 2024,24.1,24.6,23.8,24.1,-0.2,-0.82,13889862,335771.7
30 Aug 2024,24.7,25.0,24.2,24.3,-0.4,-1.62,17229799,422730.49
29 Aug 2024,24.8,25.25,24.6,24.7,-0.1,-0.4,7310557,181419.91
28 Aug 2024,25.25,25.5,24.6,24.8,-0.45,-1.78,8521394,212192.4
27 Aug 2024,25.0,25.75,25.0,25.25,0.25,1.0,5870075,148982.54
26 Aug 2024,25.25,25.25,24.6,25.0,-0.25,-0.99,13439480,333645.77
23 Aug 2024,24.2,25.5,24.2,25.25,1.15,4.77,17364851,433368.02
22 Aug 2024,23.5,24.1,23.4,24.1,0.8,3.43,17174800,408898.78
21 Aug 2024,22.6,23.4,22.6,23.3,0.6,2.64,13024649,299810.89
20 Aug 2024,23.4,23.9,22.5,22.7,-0.7,-2.99,20359119,471398.21
