Date  ,Open  ,High  ,Low  ,Close  ,Change  ,% Change  ,Volume ()  ,Value (')  
16 Sep 2024,18.1,19.0,18.0,18.9,0.9,5.0,36658293,680698.36
13 Sep 2024,18.0,18.4,17.9,18.0,0.2,1.12,17355326,313712.45
12 Sep 2024,18.0,18.1,17.6,17.8,0.0,0.0,22572548,402473.22
11 Sep 2024,18.0,18.0,17.2,17.8,-0.3,-1.66,27292034,480759.32
10 Sep 2024,18.3,18.3,17.9,18.1,-0.3,-1.63,18159384,327982.56
09 Sep 2024,18.7,18.9,18.0,18.4,-0.5,-2.65,31081512,572533.1
06 Sep 2024,17.7,18.9,17.6,18.9,1.2,6.78,41695145,766290.23
05 Sep 2024,16.9,17.7,16.8,17.7,1.2,7.27,34203482,591993.21
04 Sep 2024,16.0,16.7,16.0,16.5,0.3,1.85,11576205,188990.2
03 Sep 2024,15.9,16.2,15.9,16.2,0.3,1.89,18963541,304983.65
02 Sep 2024,16.3,16.3,15.8,15.9,-0.6,-3.64,12649476,202030.82
30 Aug 2024,16.5,16.7,16.2,16.5,0.1,0.61,13829706,227333.8
29 Aug 2024,16.4,16.7,16.2,16.4,-0.1,-0.61,10522722,173391.79
28 Aug 2024,16.7,16.8,16.4,16.5,-0.2,-1.2,11054324,182970.87
27 Aug 2024,16.5,16.7,16.4,16.7,0.0,0.0,13405937,221883.5
26 Aug 2024,16.3,16.7,16.0,16.7,0.4,2.45,31290854,515055.39
23 Aug 2024,15.3,16.5,15.2,16.3,1.2,7.95,57533555,922722.55
22 Aug 2024,14.9,15.2,14.7,15.1,0.0,0.0,18535294,277290.79
21 Aug 2024,14.3,15.5,14.2,15.1,0.9,6.34,38200697,568883.17
20 Aug 2024,14.3,14.5,14.2,14.2,-0.1,-0.7,18119235,258857.18
