Date  ,Open  ,High  ,Low  ,Close  ,Change  ,% Change  ,Volume ()  ,Value (')  
16 Sep 2024,97.25,97.5,96.5,96.5,-1.0,-1.03,2364943,228705.63
13 Sep 2024,96.75,97.5,96.75,97.5,1.0,1.04,4757103,462297.82
12 Sep 2024,96.25,97.0,96.0,96.5,0.5,0.52,3958801,382213.48
11 Sep 2024,96.75,97.0,96.0,96.0,-0.75,-0.78,4415995,425220.75
10 Sep 2024,97.25,97.75,96.5,96.75,-2.75,-2.76,9488803,919905.18
09 Sep 2024,99.75,100.5,99.0,99.5,0.5,0.51,15725255,1563730.23
06 Sep 2024,97.0,99.25,96.75,99.0,2.25,2.33,16201485,1589048.15
05 Sep 2024,95.75,96.75,95.5,96.75,1.25,1.31,6181621,595159.82
04 Sep 2024,95.5,95.75,95.25,95.5,-0.25,-0.26,5311392,501892.04
03 Sep 2024,95.5,96.0,95.0,95.75,0.5,0.52,4650063,444826.75
02 Sep 2024,95.25,95.75,95.0,95.25,-0.25,-0.26,3962463,377953.75
30 Aug 2024,94.75,95.5,94.5,95.5,0.75,0.79,4940062,469151.61
29 Aug 2024,94.5,95.25,94.25,94.75,0.75,0.8,5046099,478123.72
28 Aug 2024,94.0,94.25,93.5,94.0,-0.25,-0.27,4520697,424087.57
27 Aug 2024,94.5,94.75,93.75,94.25,-0.25,-0.26,3829889,360466.53
26 Aug 2024,94.75,94.75,93.75,94.5,-0.25,-0.26,5388423,508203.77
23 Aug 2024,93.25,94.75,92.75,94.75,1.5,1.61,6359572,597234.74
22 Aug 2024,93.5,93.5,92.5,93.25,0.25,0.27,3095684,287840.53
21 Aug 2024,92.25,93.25,92.0,93.0,1.0,1.09,3561441,330640.61
20 Aug 2024,92.75,93.0,92.0,92.0,-0.5,-0.54,3708108,342827.11
