Date  ,Open  ,High  ,Low  ,Close  ,Change  ,% Change  ,Volume ()  ,Value (')  
16 Sep 2024,8.7,9.1,8.7,9.0,0.35,4.05,35227359,315920.83
13 Sep 2024,8.65,8.8,8.65,8.65,0.05,0.58,15067791,131073.67
12 Sep 2024,8.65,8.7,8.55,8.6,0.0,0.0,8716843,75005.94
11 Sep 2024,8.65,8.7,8.4,8.6,-0.1,-1.15,29024892,248331.93
10 Sep 2024,8.75,8.85,8.7,8.7,-0.05,-0.57,21203863,185726.1
09 Sep 2024,8.75,8.95,8.6,8.75,0.05,0.57,28719488,252004.2
06 Sep 2024,8.4,8.8,8.35,8.7,0.3,3.57,46154224,397767.57
05 Sep 2024,8.15,8.55,8.1,8.4,0.45,5.66,44476243,369705.27
04 Sep 2024,7.65,8.0,7.6,7.95,0.25,3.25,22168265,174563.92
03 Sep 2024,7.55,7.8,7.55,7.7,0.15,1.99,8911337,68505.54
02 Sep 2024,7.7,7.75,7.55,7.55,-0.25,-3.21,9982790,75891.43
30 Aug 2024,7.7,7.85,7.65,7.8,0.1,1.3,43846518,341377.36
29 Aug 2024,7.8,7.85,7.65,7.7,-0.1,-1.28,13831690,106811.71
28 Aug 2024,7.8,7.9,7.75,7.8,-0.05,-0.64,9426880,73656.71
27 Aug 2024,7.85,7.95,7.8,7.85,-0.05,-0.63,8259532,65096.51
26 Aug 2024,7.8,7.95,7.75,7.9,0.1,1.28,11676838,91761.17
23 Aug 2024,7.7,8.0,7.65,7.8,0.1,1.3,25529222,200956.1
22 Aug 2024,7.45,7.75,7.4,7.7,0.3,4.05,16946322,129304.02
21 Aug 2024,7.3,7.5,7.3,7.4,0.05,0.68,9636716,71527.78
20 Aug 2024,7.5,7.55,7.3,7.35,-0.15,-2.0,13665385,101146.8
