Date  ,Open  ,High  ,Low  ,Close  ,Change  ,% Change  ,Volume ()  ,Value (')  
16 Sep 2024,51.25,51.5,51.0,51.25,0.0,0.0,5658353,289836.16
13 Sep 2024,52.0,52.25,51.0,51.25,-0.25,-0.49,9634788,496624.73
12 Sep 2024,51.5,52.25,51.5,51.5,-1.25,-2.37,9437752,488105.77
11 Sep 2024,53.75,54.0,52.5,52.75,-1.75,-3.21,23713360,1256750.42
10 Sep 2024,55.0,55.0,54.5,54.5,-0.5,-0.91,8782637,480560.17
09 Sep 2024,55.0,55.5,54.75,55.0,0.5,0.92,8428160,463696.04
06 Sep 2024,54.5,55.0,54.25,54.5,0.0,0.0,17948774,980207.05
05 Sep 2024,53.25,54.75,53.0,54.5,1.25,2.35,18457399,993535.19
04 Sep 2024,53.5,53.5,53.0,53.25,-1.0,-1.84,8631813,459763.28
03 Sep 2024,54.0,54.25,53.5,54.25,0.25,0.46,7398838,399817.36
02 Sep 2024,53.5,54.0,53.25,54.0,1.0,1.89,5364587,287803.84
30 Aug 2024,53.75,53.75,52.75,53.0,-0.75,-1.4,6928691,367363.6
29 Aug 2024,53.5,53.75,53.0,53.75,0.5,0.94,3935125,210189.49
28 Aug 2024,53.5,53.75,52.5,53.25,-0.5,-0.93,4303993,228712.07
27 Aug 2024,53.0,53.75,52.75,53.75,1.0,1.9,7836080,418022.99
26 Aug 2024,52.25,52.75,52.0,52.75,0.75,1.44,5982528,313611.74
23 Aug 2024,53.0,53.25,51.75,52.0,-0.5,-0.95,13582115,712171.16
22 Aug 2024,52.25,52.75,52.0,52.5,0.25,0.48,6005745,314821.61
21 Aug 2024,51.75,52.5,51.5,52.25,0.25,0.48,4629311,241642.07
20 Aug 2024,53.0,53.0,51.25,52.0,-1.25,-2.35,13228356,686998.98
