Date  ,Open  ,High  ,Low  ,Close  ,Change  ,% Change  ,Volume ()  ,Value (')  
16 Sep 2024,10.5,10.8,10.5,10.7,0.2,1.9,61008362,649951.18
13 Sep 2024,10.5,10.5,10.4,10.5,0.1,0.96,12388048,129821.94
12 Sep 2024,10.4,10.6,10.3,10.4,0.1,0.97,38748378,404703.76
11 Sep 2024,10.4,10.5,10.3,10.3,0.0,0.0,63812997,662590.09
10 Sep 2024,10.5,10.6,10.2,10.3,-0.2,-1.9,109925009,1138993.17
09 Sep 2024,10.7,10.8,10.4,10.5,-0.2,-1.87,74378074,786773.44
06 Sep 2024,10.7,10.9,10.6,10.7,0.0,0.0,66416289,713174.46
05 Sep 2024,10.4,11.0,10.3,10.7,0.3,2.88,122136802,1307515.59
04 Sep 2024,10.2,10.4,10.2,10.4,0.2,1.96,33942216,349534.52
03 Sep 2024,10.2,10.3,10.2,10.2,-0.1,-0.97,23768506,243537.13
02 Sep 2024,10.2,10.3,10.1,10.3,0.0,0.0,26603107,272011.21
30 Aug 2024,10.3,10.4,10.2,10.3,0.1,0.98,51250057,527368.64
29 Aug 2024,10.4,10.5,10.2,10.2,-0.2,-1.92,24976914,257289.87
28 Aug 2024,10.3,10.5,10.2,10.4,0.1,0.97,114804851,1195480.89
27 Aug 2024,10.3,10.4,10.1,10.3,0.0,0.0,33860204,348656.41
26 Aug 2024,10.2,10.3,10.1,10.3,0.0,0.0,32419324,331482.51
23 Aug 2024,10.3,10.5,10.1,10.3,0.0,0.0,71209938,730254.09
22 Aug 2024,10.3,10.5,10.3,10.3,0.0,0.0,23679492,245059.53
21 Aug 2024,10.2,10.3,10.1,10.3,0.1,0.98,35150011,360376.2
20 Aug 2024,10.3,10.5,10.2,10.2,0.0,0.0,91314819,941704.67
