Date  ,Open  ,High  ,Low  ,Close  ,Change  ,% Change  ,Volume ()  ,Value (')  
16 Sep 2024,2.02,2.02,1.95,1.96,-0.06,-2.97,818827094,1618632.5
13 Sep 2024,2.0,2.04,2.0,2.02,0.0,0.0,413107486,832812.33
12 Sep 2024,2.02,2.06,2.02,2.02,0.0,0.0,227849176,463651.99
11 Sep 2024,2.04,2.06,2.0,2.02,-0.02,-0.98,205492176,415509.58
10 Sep 2024,2.02,2.06,1.98,2.04,0.02,0.99,603963216,1217864.71
09 Sep 2024,1.97,2.04,1.93,2.02,0.06,3.06,1016728102,2012337.38
06 Sep 2024,1.88,2.0,1.88,1.96,0.09,4.81,1158611951,2248259.75
05 Sep 2024,1.85,1.89,1.84,1.87,0.02,1.08,440550626,825571.18
04 Sep 2024,1.83,1.85,1.83,1.85,0.02,1.09,87759410,161558.98
03 Sep 2024,1.82,1.85,1.82,1.83,0.01,0.55,147047244,270098.37
02 Sep 2024,1.83,1.84,1.81,1.82,-0.03,-1.62,212149317,394495.14
30 Aug 2024,1.86,1.86,1.84,1.85,-0.01,-0.54,157922031,292055.32
29 Aug 2024,1.86,1.87,1.82,1.86,0.0,0.0,368104943,679553.96
28 Aug 2024,1.85,1.87,1.83,1.86,0.01,0.54,225939695,418413.91
27 Aug 2024,1.85,1.86,1.84,1.85,0.0,0.0,300431146,556281.9
26 Aug 2024,1.82,1.87,1.81,1.85,0.03,1.65,514562079,949704.71
23 Aug 2024,1.79,1.82,1.78,1.82,0.03,1.68,446757842,805416.03
22 Aug 2024,1.79,1.8,1.77,1.79,0.0,0.0,150379419,268761.86
21 Aug 2024,1.78,1.8,1.77,1.79,0.01,0.56,143666488,257127.11
20 Aug 2024,1.8,1.82,1.78,1.78,-0.02,-1.11,270734034,486444.04
