Date  ,Open  ,High  ,Low  ,Close  ,Change  ,% Change  ,Volume ()  ,Value (')  
16 Sep 2024,15.2,15.4,15.0,15.2,0.1,0.66,14478825,220217.63
13 Sep 2024,15.2,15.3,15.1,15.1,-0.1,-0.66,6103597,92699.15
12 Sep 2024,15.1,15.2,15.0,15.2,0.1,0.66,11595300,175738.27
11 Sep 2024,15.3,15.4,14.9,15.1,-0.2,-1.31,28857358,435436.63
10 Sep 2024,15.5,15.5,15.3,15.3,-0.1,-0.65,9064797,139109.73
09 Sep 2024,15.3,15.6,15.3,15.4,0.1,0.65,14211268,219132.42
06 Sep 2024,15.3,15.6,15.1,15.3,-0.1,-0.65,39250958,599535.81
05 Sep 2024,15.5,15.6,15.2,15.4,-0.1,-0.65,32358614,496653.54
04 Sep 2024,15.4,15.6,15.4,15.5,0.1,0.65,10043334,155698.06
03 Sep 2024,15.6,15.7,15.4,15.4,-0.2,-1.28,9266333,143785.38
02 Sep 2024,15.7,15.8,15.5,15.6,-0.1,-0.64,8996342,140528.12
30 Aug 2024,15.6,15.7,15.4,15.7,0.2,1.29,17384405,270712.1
29 Aug 2024,15.7,15.7,15.4,15.5,-0.1,-0.64,14950018,232370.26
28 Aug 2024,15.4,15.6,15.3,15.6,0.3,1.96,16328449,252961.35
27 Aug 2024,15.1,15.4,15.0,15.3,0.2,1.32,17334804,264143.72
26 Aug 2024,15.0,15.2,14.9,15.1,0.1,0.67,14000349,211226.2
23 Aug 2024,15.2,15.4,14.9,15.0,-0.2,-1.32,18267191,275384.04
22 Aug 2024,15.0,15.3,14.9,15.2,0.2,1.33,15207624,230594.52
21 Aug 2024,15.1,15.2,14.9,15.0,-0.4,-2.6,19916559,299848.77
20 Aug 2024,15.5,15.7,15.4,15.4,-0.1,-0.65,12646608,196328.61
