Date  ,Open  ,High  ,Low  ,Close  ,Change  ,% Change  ,Volume ()  ,Value (')  
16 Sep 2024,5.6,5.65,5.5,5.55,-0.05,-0.89,49218486,274691.07
13 Sep 2024,5.6,5.65,5.5,5.6,0.05,0.9,29689501,165504.24
12 Sep 2024,5.6,5.7,5.5,5.55,0.05,0.91,107960854,602944.66
11 Sep 2024,5.65,5.65,5.45,5.5,-0.15,-2.65,81751614,450977.84
10 Sep 2024,5.55,5.65,5.5,5.65,0.1,1.8,54991903,307275.48
09 Sep 2024,5.5,5.65,5.45,5.55,0.1,1.83,98213742,545260.24
06 Sep 2024,5.5,5.6,5.4,5.45,-0.05,-0.91,79616541,437099.03
05 Sep 2024,5.25,5.5,5.25,5.5,0.25,4.76,92388458,499724.46
04 Sep 2024,5.25,5.35,5.2,5.25,0.0,0.0,43262207,227679.14
03 Sep 2024,5.3,5.35,5.25,5.25,0.0,0.0,26916203,142443.37
02 Sep 2024,5.35,5.35,5.25,5.25,-0.05,-0.94,19480067,103445.8
30 Aug 2024,5.4,5.4,5.3,5.3,-0.05,-0.93,40108667,214032.29
29 Aug 2024,5.4,5.45,5.3,5.35,-0.1,-1.83,62323292,335384.94
28 Aug 2024,5.25,5.45,5.25,5.45,0.25,4.81,76745372,410557.74
27 Aug 2024,5.2,5.25,5.1,5.2,0.0,0.0,29990900,155875.32
26 Aug 2024,5.15,5.2,5.1,5.2,0.05,0.97,23909883,123779.55
23 Aug 2024,5.05,5.15,5.05,5.15,0.05,0.98,21995210,112627.69
22 Aug 2024,5.15,5.2,5.05,5.1,-0.05,-0.97,16034035,81992.63
21 Aug 2024,5.05,5.15,5.05,5.15,0.1,1.98,20163849,103053.34
20 Aug 2024,5.1,5.1,4.96,5.05,-0.05,-0.98,69623630,349341.67
